morpheme,type,mode,sameSubject,posneg,tense,dialect,specificity,perSubject,numbSubject,perObject,numbObject,V-form,V-action1,V-action2,t-form,t-action1,t-action2,k-form,k-action1,k-action2,q-form,q-action1,q-action2,condPrecSpecific,sources
lunitiguk,tv,part,oui,pos,prespas,North Baffin,sp,3,p,1,d,,i(l),,&unitiguk &unitiguk,a n,,&unitiguk,n,,&unitiguk,n,,,?
lunuk,tv,part,oui,pos,prespas,North Baffin,sp,4,p,1,d,,i(l),,&unuk &unuk,a n,,&unuk,n,,&unuk,n,,,?
lutik,tv,part,oui,pos,prespas,North Baffin,sp,1,p,2,d,,i(l),,&utik &utik,a n,,&utik,n,,&utik,n,,,?
lunitik,tv,part,oui,pos,prespas,North Baffin,sp,3,p,2,d,,i(l),,&unitik &unitik,a n,,&unitik,n,,&unitik,n,,,?
lutik,tv,part,oui,pos,prespas,North Baffin,sp,4,p,2,d,,i(l),,&utik &utik,a n,,&utik,n,,&utik,n,,,?
lugik,tv,part,oui,pos,prespas,North Baffin,sp,1,p,3,d,,i(l),,&ugik &ugik,a n,,&ugik,n,,&ugik,n,,,?
lugik,tv,part,oui,pos,prespas,North Baffin,sp,2,p,3,d,,i(l),,&ugik &ugik,a n,,&ugik,n,,&ugik,n,,,?
lunigik,tv,part,oui,pos,prespas,North Baffin,sp,3,p,3,d,,i(l),,&unigik &unigik,a n,,&unigik,n,,&unigik,n,,,?
lugik,tv,part,oui,pos,prespas,North Baffin,sp,4,p,3,d,,i(l),,&ugik &ugik,a n,,&ugik,n,,&ugik,n,,,?
luta,tv,part,oui,pos,prespas,North Baffin,sp,2,p,1,p,,i(l),,&uta &uta,a n,,&uta,n,,&uta,n,,,?
lunitigut,tv,part,oui,pos,prespas,North Baffin,sp,3,p,1,p,,i(l),,&unitigut &unitigut,a n,,&unitigut,n,,&unitigut,n,,,?
lugik,tv,part,oui,pos,prespas,Cumberland Peninsula,sp,4,s,3,d,,i(l),,tugik,n,,tugik,n,,tugik,n,,,?
luta,tv,part,oui,pos,prespas,Cumberland Peninsula,sp,2,s,1,p,,i(l),,tuta,n,,tuta,n,,tuta,n,,,?
lunitigut,tv,part,oui,pos,prespas,Cumberland Peninsula,sp,3,s,1,p,,i(l),,tunitigut,n,,tunitigut,n,,tunitigut,n,,,?
luta,tv,part,oui,pos,prespas,Cumberland Peninsula,sp,4,s,1,p,,i(l),,tuta,n,,tuta,n,,tuta,n,,,?
luta,tv,part,oui,pos,prespas,North Baffin,sp,4,p,1,p,,i(l),,&uta &uta,a n,,&uta,n,,&uta,n,,,?
lusi,tv,part,oui,pos,prespas,North Baffin,sp,1,p,2,p,,i(l),,&usi &usi,a n,,&usi,n,,&usi,n,,,?
lunisi,tv,part,oui,pos,prespas,North Baffin,sp,3,p,2,p,,i(l),,&unisi &unisi,a n,,&unisi,n,,&unisi,n,,,?
lusi,tv,part,oui,pos,prespas,North Baffin,sp,4,p,2,p,,i(l),,&usi &usi,a n,,&usi,n,,&usi,n,,,?
lugit,tv,part,oui,pos,prespas,North Baffin,sp,1,p,3,p,,i(l),,&ugit &ugit,a n,,&ugit,n,,&ugit,n,,,?
lugit,tv,part,oui,pos,prespas,North Baffin,sp,2,p,3,p,,i(l),,&ugit &ugit,a n,,&ugit,n,,&ugit,n,,,?
lunigit,tv,part,oui,pos,prespas,North Baffin,sp,3,p,3,p,,i(l),,&unigit &unigit,a n,,&unigit,n,,&unigit,n,,,?
lugit,tv,part,oui,pos,prespas,North Baffin,sp,4,p,3,p,,i(l),,&ugit &ugit,a n,,&ugit,n,,&ugit,n,,,?
lunga,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,2,s,1,s,,n,,,son,,,son,,,son,,,?
luninga,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,3,s,1,s,,n,,,son,,,son,,,son,,,?
lunga,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,4,s,1,s,,n,,,son,,,son,,,son,,,?
lutit,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,1,s,2,s,,n,,,son,,,son,,,son,,,?
lunitit,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,3,s,2,s,,n,,,son,,,son,,,son,,,?
lutit,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,4,s,2,s,,n,,,son,,,son,,,son,,,?
lugu,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,1,s,3,s,,n,,,son,,,son,,,son,,,?
lugu,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,2,s,3,s,,n,,,son,,,son,,,son,,,?
lusi,tv,part,oui,pos,prespas,Cumberland Peninsula,sp,1,s,2,p,,i(l),,tusi,n,,tusi,n,,tusi,n,,,?
lunisi,tv,part,oui,pos,prespas,Cumberland Peninsula,sp,3,s,2,p,,i(l),,tunisi,n,,tunisi,n,,tunisi,n,,,?
lusi,tv,part,oui,pos,prespas,Cumberland Peninsula,sp,4,s,2,p,,i(l),,tusi,n,,tusi,n,,tusi,n,,,?
lugit,tv,part,oui,pos,prespas,Cumberland Peninsula,sp,1,s,3,p,,i(l),,tugit,n,,tugit,n,,tugit,n,,,?
luniuk,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,3,s,3,s,,n,,,son,,,son,,,son,,,?
lugu,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,4,s,3,s,,n,,,son,,,son,,,son,,,?
lunuk,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,2,s,1,d,,n,,,son,,,son,,,son,,,?
lunitiguk,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,3,s,1,d,,n,,,son,,,son,,,son,,,?
lunuk,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,4,s,1,d,,n,,,son,,,son,,,son,,,?
lutik,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,1,s,2,d,,n,,,son,,,son,,,son,,,?
lunitik,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,3,s,2,d,,n,,,son,,,son,,,son,,,?
lutik,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,4,s,2,d,,n,,,son,,,son,,,son,,,?
lugik,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,1,s,3,d,,n,,,son,,,son,,,son,,,?
lugik,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,2,s,3,d,,n,,,son,,,son,,,son,,,?
lunigik,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,3,s,3,d,,n,,,son,,,son,,,son,,,?
lugik,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,4,s,3,d,,n,,,son,,,son,,,son,,,?
luta,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,2,s,1,p,,n,,,son,,,son,,,son,,,?
lunitigut,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,3,s,1,p,,n,,,son,,,son,,,son,,,?
luta,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,4,s,1,p,,n,,,son,,,son,,,son,,,?
lusi,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,1,s,2,p,,n,,,son,,,son,,,son,,,?
lugit,tv,part,oui,pos,prespas,Cumberland Peninsula,sp,2,s,3,p,,i(l),,tugit,n,,tugit,n,,tugit,n,,,?
lunigit,tv,part,oui,pos,prespas,Cumberland Peninsula,sp,3,s,3,p,,i(l),,tunigit,n,,tunigit,n,,tunigit,n,,,?
lugit,tv,part,oui,pos,prespas,Cumberland Peninsula,sp,4,s,3,p,,i(l),,tugit,n,,tugit,n,,tugit,n,,,?
lunga,tv,part,oui,pos,prespas,Cumberland Peninsula,sp,2,d,1,s,,i(l),,tunga,n,,tunga,n,,tunga,n,,,?
luninga,tv,part,oui,pos,prespas,Cumberland Peninsula,sp,3,d,1,s,,i(l),,tuninga,n,,tuninga,n,,tuninga,n,,,?
lunisi,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,3,s,2,p,,n,,,son,,,son,,,son,,,?
lusi,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,4,s,2,p,,n,,,son,,,son,,,son,,,?
lugit,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,1,s,3,p,,n,,,son,,,son,,,son,,,?
lugit,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,2,s,3,p,,n,,,son,,,son,,,son,,,?
lunigit,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,3,s,3,p,,n,,,son,,,son,,,son,,,?
lugit,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,4,s,3,p,,n,,,son,,,son,,,son,,,?
lunga,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,2,d,1,s,,n,,,son,,,son,,,son,,,?
luninga,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,3,d,1,s,,n,,,son,,,son,,,son,,,?
lunga,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,4,d,1,s,,n,,,son,,,son,,,son,,,?
lutit,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,1,d,2,s,,n,,,son,,,son,,,son,,,?
lunitit,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,3,d,2,s,,n,,,son,,,son,,,son,,,?
lutit,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,4,d,2,s,,n,,,son,,,son,,,son,,,?
lugu,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,1,d,3,s,,n,,,son,,,son,,,son,,,?
lugu,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,2,d,3,s,,n,,,son,,,son,,,son,,,?
lunikku,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,3,d,3,s,,n,,,son,,,son,,,son,,,?
lugu,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,4,d,3,s,,n,,,son,,,son,,,son,,,?
lunga,tv,part,oui,pos,prespas,Cumberland Peninsula,sp,4,d,1,s,,i(l),,tunga,n,,tunga,n,,tunga,n,,,?
lutit,tv,part,oui,pos,prespas,Cumberland Peninsula,sp,1,d,2,s,,i(l),,tutit,n,,tutit,n,,tutit,n,,,?
lunitit,tv,part,oui,pos,prespas,Cumberland Peninsula,sp,3,d,2,s,,i(l),,tunitit,n,,tunitit,n,,tunitit,n,,,?
lutit,tv,part,oui,pos,prespas,Cumberland Peninsula,sp,4,d,2,s,,i(l),,tutit,n,,tutit,n,,tutit,n,,,?
lugu,tv,part,oui,pos,prespas,Cumberland Peninsula,sp,1,d,3,s,,i(l),,tugu,n,,tugu,n,,tugu,n,,,?
lunuk,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,2,d,1,d,,n,,,son,,,son,,,son,,,?
lunitiguk,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,3,d,1,d,,n,,,son,,,son,,,son,,,?
lunuk,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,4,d,1,d,,n,,,son,,,son,,,son,,,?
lutik,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,1,d,2,d,,n,,,son,,,son,,,son,,,?
lunitik,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,3,d,2,d,,n,,,son,,,son,,,son,,,?
lutik,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,4,d,2,d,,n,,,son,,,son,,,son,,,?
lugik,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,1,d,3,d,,n,,,son,,,son,,,son,,,?
lugik,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,2,d,3,d,,n,,,son,,,son,,,son,,,?
lunikkik,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,3,d,3,d,,n,,,son,,,son,,,son,,,?
lugik,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,4,d,3,d,,n,,,son,,,son,,,son,,,?
luta,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,2,d,1,p,,n,,,son,,,son,,,son,,,?
lunitigut,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,3,d,1,p,,n,,,son,,,son,,,son,,,?
luta,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,4,d,1,p,,n,,,son,,,son,,,son,,,?
lusi,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,1,d,2,p,,n,,,son,,,son,,,son,,,?
lunisi,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,3,d,2,p,,n,,,son,,,son,,,son,,,?
lusi,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,4,d,2,p,,n,,,son,,,son,,,son,,,?
lugu,tv,part,oui,pos,prespas,Cumberland Peninsula,sp,2,d,3,s,,i(l),,tugu,n,,tugu,n,,tugu,n,,,?
lunikku,tv,part,oui,pos,prespas,Cumberland Peninsula,sp,3,d,3,s,,i(l),,tunikku,n,,tunikku,n,,tunikku,n,,,?
lugu,tv,part,oui,pos,prespas,Cumberland Peninsula,sp,4,d,3,s,,i(l),,tugu,n,,tugu,n,,tugu,n,,,?
lunuk,tv,part,oui,pos,prespas,Cumberland Peninsula,sp,2,d,1,d,,i(l),,tunuk,n,,tunuk,n,,tunuk,n,,,?
lunitiguk,tv,part,oui,pos,prespas,Cumberland Peninsula,sp,3,d,1,d,,i(l),,tunitiguk,n,,tunitiguk,n,,tunitiguk,n,,,?
lugit,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,1,d,3,p,,n,,,son,,,son,,,son,,,?
lugit,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,2,d,3,p,,n,,,son,,,son,,,son,,,?
lunikkit,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,3,d,3,p,,n,,,son,,,son,,,son,,,?
lugit,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,4,d,3,p,,n,,,son,,,son,,,son,,,?
lunga,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,2,p,1,s,,n,,,son,,,son,,,son,,,?
luninga,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,3,p,1,s,,n,,,son,,,son,,,son,,,?
lunga,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,4,p,1,s,,n,,,son,,,son,,,son,,,?
lutit,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,1,p,2,s,,n,,,son,,,son,,,son,,,?
lunitit,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,3,p,2,s,,n,,,son,,,son,,,son,,,?
lutit,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,4,p,2,s,,n,,,son,,,son,,,son,,,?
lugu,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,1,p,3,s,,n,,,son,,,son,,,son,,,?
lugu,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,2,p,3,s,,n,,,son,,,son,,,son,,,?
lunijjuk,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,3,p,3,s,,n,,,son,,,son,,,son,,,?
lugu,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,4,p,3,s,,n,,,son,,,son,,,son,,,?
lunuk,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,2,p,1,d,,n,,,son,,,son,,,son,,,?
lunitiguk,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,3,p,1,d,,n,,,son,,,son,,,son,,,?
lunuk,tv,part,oui,pos,prespas,Cumberland Peninsula,sp,4,d,1,d,,i(l),,tunuk,n,,tunuk,n,,tunuk,n,,,?
lutik,tv,part,oui,pos,prespas,Cumberland Peninsula,sp,1,d,2,d,,i(l),,tutik,n,,tutik,n,,tutik,n,,,?
lunitik,tv,part,oui,pos,prespas,Cumberland Peninsula,sp,3,d,2,d,,i(l),,tunitik,n,,tunitik,n,,tunitik,n,,,?
lutik,tv,part,oui,pos,prespas,Cumberland Peninsula,sp,4,d,2,d,,i(l),,tutik,n,,tutik,n,,tutik,n,,,?
lugik,tv,part,oui,pos,prespas,Cumberland Peninsula,sp,1,d,3,d,,i(l),,tugik,n,,tugik,n,,tugik,n,,,?
lunuk,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,4,p,1,d,,n,,,son,,,son,,,son,,,?
lutik,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,1,p,2,d,,n,,,son,,,son,,,son,,,?
lunitik,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,3,p,2,d,,n,,,son,,,son,,,son,,,?
lutik,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,4,p,2,d,,n,,,son,,,son,,,son,,,?
lugik,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,1,p,3,d,,n,,,son,,,son,,,son,,,?
lugik,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,2,p,3,d,,n,,,son,,,son,,,son,,,?
lunigik,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,3,p,3,d,,n,,,son,,,son,,,son,,,?
lugik,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,4,p,3,d,,n,,,son,,,son,,,son,,,?
luta,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,2,p,1,p,,n,,,son,,,son,,,son,,,?
lunitigut,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,3,p,1,p,,n,,,son,,,son,,,son,,,?
luta,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,4,p,1,p,,n,,,son,,,son,,,son,,,?
lusi,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,1,p,2,p,,n,,,son,,,son,,,son,,,?
lunisi,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,3,p,2,p,,n,,,son,,,son,,,son,,,?
lusi,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,4,p,2,p,,n,,,son,,,son,,,son,,,?
lugit,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,1,p,3,p,,n,,,son,,,son,,,son,,,?
lugit,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,2,p,3,p,,n,,,son,,,son,,,son,,,?
lugik,tv,part,oui,pos,prespas,Cumberland Peninsula,sp,2,d,3,d,,i(l),,tugik,n,,tugik,n,,tugik,n,,,?
lunikkik,tv,part,oui,pos,prespas,Cumberland Peninsula,sp,3,d,3,d,,i(l),,tunikkik,n,,tunikkik,n,,tunikkik,n,,,?
lugik,tv,part,oui,pos,prespas,Cumberland Peninsula,sp,4,d,3,d,,i(l),,tugik,n,,tugik,n,,tugik,n,,,?
luta,tv,part,oui,pos,prespas,Cumberland Peninsula,sp,2,d,1,p,,i(l),,tuta,n,,tuta,n,,tuta,n,,,?
lunigit,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,3,p,3,p,,n,,,son,,,son,,,son,,,?
lugit,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,4,p,3,p,,n,,,son,,,son,,,son,,,?
tillunga,tv,part,non,pos,,"North Baffin, Cumberland Peninsula",sp,2,s,1,s,,n,,,n s,,,n,,,son,,,?
tilluninga,tv,part,non,pos,,"North Baffin, Cumberland Peninsula",sp,3,s,1,s,,n,,,n s,,,n,,,son,,,?
tillunga,tv,part,non,pos,,"North Baffin, Cumberland Peninsula",sp,4,s,1,s,,n,,,n s,,,n,,,son,,,?
tillutit,tv,part,non,pos,,"North Baffin, Cumberland Peninsula",sp,1,s,2,s,,n,,,n s,,,n,,,son,,,?
tillunitit,tv,part,non,pos,,"North Baffin, Cumberland Peninsula",sp,3,s,2,s,,n,,,n s,,,n,,,son,,,?
tillutit,tv,part,non,pos,,"North Baffin, Cumberland Peninsula",sp,4,s,2,s,,n,,,n s,,,n,,,son,,,?
tillugu,tv,part,non,pos,,"North Baffin, Cumberland Peninsula",sp,1,s,3,s,,n,,,n s,,,n,,,son,,,?
tillugu,tv,part,non,pos,,"North Baffin, Cumberland Peninsula",sp,2,s,3,s,,n,,,n s,,,n,,,son,,,?
tilluniuk,tv,part,non,pos,,"North Baffin, Cumberland Peninsula",sp,3,s,3,s,,n,,,n s,,,n,,,son,,,?
tillugu,tv,part,non,pos,,"North Baffin, Cumberland Peninsula",sp,4,s,3,s,,n,,,n s,,,n,,,son,,,?
