morpheme,nb,type,function,position,transitivity,nature,plural,antipassive,V-form,V-action1,V-action2,t-form,t-action1,t-action2,k-form,k-action1,k-action2,q-form,q-action1,q-action2,engMean,freMean,condPrec,condPrecTrans,condOnNext,sources,combination,dialect,mobility
qi,1,sv,vv,m,n,,,,,n,,,s,,,s,,,s,,to do s.t. by oneself,faire qqchose par soi-même,,,,S1,,,m
qqaaq,1,sv,vv,m,n,,,,,n,,,s,,,s,,,s,,first (before doing anything else); first (to do s.t.); before (with negative participle endings) or after (with positive participle endings),"d'abord, en premier (avant de faire quoi que ce soit d'autre); le(s) premier(s) à faire qqch.; avant que (avec terminaisons négatives au participe) ou après que (avec terminaisons positives au participe)",,,,H1,,,m
qqau,1,sv,vv,m,n,,,,,n,,,s,,,s,,,s,,recent perceived past,passé récent perçu,,,,H1,,,m
qqautau,1,sv,vv,m,n,,,,,n,,,s,,,s,,,s,,to be the first one(s) to do s.t.,être le(s) premier(s) à faire qqchose,,,,A1,,,m
qquqtu,1,sn,nv,m,i,,,,quqtu,n,,* quqtu,s i(i),,* quqtu,s,,* quqtu,s,,to have large (specified) body parts,avoir de grands ... (parties du corps),,,,A1,,,m
qquuq,1,sv,vv,m,n,,,,,n,,,s,,,s,,,s,,probably,probablement,,,,H1,,,m
qu,2,sv,vv,m,t,,,ji/1vv,,n,,,s,,,s,,,s,,"to desire, to wish something to be done","désirer, souhaiter que quelque chose soit fait",,,,H1 A1,,,m
qu,1,sv,vv,m,n,,,,,n,,,s,,,s,,,s,,'so that' when used with participal verb endings,'de sorte que' lorsqu'utilisé avec des terminaisons verbales au participe,,,mode:part,H1 A1,,,m
quti,1,sn,nn,t,,,,,,n,,,s,,,s,,,s,,own; s.t. that belongs to s.o.,"propriété propre, qui appartient à qqn",,,,H1,,,m
quuji,1,sv,vv,m,i,,,,,n,,,s,,,s,,,s,,ressemblance; 'look like'; 'appear',ressemblance; 'sembler'; 'ressembler',,,,H1,,,m
rajaaq,1,sv,vv,m,n,,,,,n,,,s,,,s,,,s,,"to be slow, to take a long time to","être lent, prendre longtemps à faire qqchose",,,,A1,,,m
ralaaq,1,sn,nn,t,,,,,,n,,,s,,,s,,,s,,small,petit,,,,H1,,,m
raq,1,sv,vv,m,n,,,,,n,,,s,,,s,,,s,,"prolonged action, or action occurring in distinct stages, one part after another","action prolongée, ou action survenant par étapes distinctes successives",,,,H1,,,m
rataaq,1,sv,vv,m,n,,,,,n,,,s,,,s,,,s,,immediate perceived past,passé immédiat perçu: 'venir juste de',,,,H1,,,m
ri,1,sv,vv,m,i,,,,-,-,,-,-,,-,-,,,fus,,"added to transitive verb stems such that they retain their transitive sense when followed by intransitive infixes or endings, to avoid their otherwise reflexive or passive senses","ajouté à des radicaux verbaux transitifs afin qu'ils conservent leur sens transitif lorsqu'ils sont suivis d'infixes ou de terminaisons intransitives, pour empêcher qu'ils prennent autrement leurs sens réfléchis ou passifs",antipassive:ri/1vv,t,,H1,,,m
rngaq,1,sv,vv,m,n,,,,,n,,,s,,,s,,,s,,for the first time,pour la première fois,,,,,,,m
rujuk,1,sv,vv,m,n,,,,,n,,,s,,,s,,,s,,"to a small degree, slight amount",un peu,,,,H1,,,m
rujuq,1,sn,nn,m,,,,,,n,,,s,,,s,,,s,,collectiveness; characteristic,"ensemble de gens, de choses; caractéristique",,,number:p,H1,,North Baffin,m
rujuq,2,sn,nn,t,,,,,,n,,,s,,,s,,,s,,"used on place names to indicate the place and the surrounding area, or following numerals to indicate approximate time","utilisé avec des noms d'endroit pour indiquer l'endroit et ses environs, ou après des nombres pour indiquer le temps approximatif",,,,H1,,,m
rulu,1,sn,nn,t,,,,,ruluk,n,,* ruluk,s,,* ruluk,s,,* ruluk,s,,"severe derogation (when this suffix is in final position, the word may be interpreted as a verb in the 3rp person); disparagement, disgust","désapprobation sévère (lorsque ce suffixe est en position finale, le mot peut être interprété comme un verbe à la 3ème personne); dégoût, moquerie",,,,H1,,,m
rulu,2,sv,vv,m,n,,,,,n,,,s,,,s,,,s,,"severe derogation; disparagement, disgust","désapprobation sévère; dégoût, moquerie",,,,H1,,,m
rusiq,2,sn,nn,t,,,,,,n,,,s,,,s,,,s,,"a unit of, a section or part of","une unité de, une section ou partie de",,,,H1,,,m
rusiq,1,sv,vn,t,,,,,,n,,,s,,,s,,,s,,"a unit of, a section or part of","une unité de, une section ou partie de",,,,H1,,,m
saali,1,sv,vv,m,n,,,,,n,,,n,,,n,,,n,,early,tôt,,,,H1,,,m
saaq,1,sv,vv,m,n,,,,,n,,,s,,,s,,,s,,"just; after some time; quickly, hastily; with imperative: 'just', 'merely'","venir tout juste de; rapidement, avec hâte; avec impératif: 'simplement'",,,,H1 A1,,,m
saaq,1,sv,vn,m,,,,,,n,,,s,,,s,,,s,,one who has just done the action,qui vient juste de faire l'action,,,,S1,,,m
saq,1,sv,vv,m,t,,,i/1vv,,n,,,s,,,n,,,n,,"working at something to achieve a desired state, usually through prolonged action","en train de travailler à quelque chose pour obtenir un résultat désiré, d'habitude par une action prolongée",,,,H1,,,m
sarait,1,sv,vv,m,n,,,,,n,,,s,,,n,,,n,,easiness or speed of action: 'quickly'; 'easily',facilité ou rapiditié de l'action: 'facilement'; 'rapidement',,,,H1,,,m
saritu,1,sv,vv,m,n,,,,,n,,,s,,,n,,,n,,to be slow,être lent,,,,A1,,,m
si,2,sv,vv,m,n,,,,,n,,,s,,,s,,,s n,,"the action is being done now, where it was not the case before; readiness, commencement of action or motion","l'action est faite maintenant, alors que ce n'était pas le cas auparavant; être prêt à; commencer à",,,,A1,,,m
si,4,sn,nv,m,t,,,i/1vv,,n,,,n,,,n,,,n,,to sight an animal; to discover s.t. (trans.: that belongs to s.o. else); to receive (after searching),voir un animal; découvrir qqch (trans.: qui appartient à qqn d'autre); recevoir (après avoir cherché),,,,H1,,,m
si,1,sv,vv,m,i,,,,,n,,,n,,,n,,,n,,"added to transitive verb stems such that they retain their transitive sense when followed by intransitive infixes or endings, to avoid their otherwise reflexive or passive senses","ajouté à des radicaux verbaux transitifs afin qu'ils conservent leur sens transitif lorsqu'ils sont suivis d'infixes ou de terminaisons intransitives, pour empêcher qu'ils prennent autrement leurs sens réfléchis ou passifs",antipassive:si/1vv,t,,H1,,,m
si,3,sv,vv,m,i,,,,,n,,,n,,,n,,,n,,added to gi-verbs to make them intransitive,ajouté aux verbes 'gi' pour les rendre intransitifs,"type:v,intransinfix:si/3vv",i,,H1,,,m
siaq,1,sn,nn,t,,,,,,n,,,n,,,n,,,n,,something found,qqch qui a été trouvé,,,,A1,,,m
siaq,1,sv,vn,t,,,,,,n,,,n,,,n,,,n,,an action that is waited for completion,une action dont on attend la complétion,,,,H1,,,m
siaq,1,sn,nv,m,i,,,,,n,,,n,,,n,,,n,,to come across; to find,rencontrer; trouver,,,,A1,si/4nv+a/1vv,,m
sima,1,sv,vv,m,n,,,,,n,,,s n,,,n,,,n,,"to be in a state acquired through a completed action (the word can be active, or passive)","être dans un état atteint à la suite d'une action complétée (le mot peut être actif, ou passif)",,,,H1 A1,,,m
siq,1,sv,vv,m,t,,,i/1vv,,n,,,n,,,n,,,n,,"to put or bring out, to be put or brought up for some natural process; to be waiting for an action to be performed or completed","pendre, placer qqchose, ou qqchose être pendue ou placée, pour un processus naturel; attendre qu'une action se fasse ou s'achève",,,,A1,,,m
siq,2,sv,vn,t,,,,,,n,,,s,,,s,,,s,,custom; way; habit; manner of doing s.t.,coutume; façon; habitude; manière de faire qqchose,,,,S1,,,m
siri,1,sn,nv,m,i,,,,,n,,,s,,,?,,,?,,to have ache or pain at,avoir mal à,,,,A1,,,m
siuq,1,sn,nv,m,t,,,ri/1vv,,n,,,n,,,n,,,n,,"searching, looking for s.t. (trans.: of, for, about s.o.); travelling through space or time (spend); feasting, celebrating","chercher qqch. (trans.: de, pour, concernant qqn) ; voyager à travers un espace (passer par) ou le temps (passer); célébrer",,,,H1,,,m
siut,1,sn,nn,t,,,,,,n,,,n i(i),,,n,,,n,,"something for, for use with s.t. or on some occasion","quelque chose pour, pour être utilisé avec qqch ou à une certaine occasion",,,,H1,,,m
suk,1,sv,vv,m,i,,,,,n,,,s,,,fus s,,-,-,,added to gi-verbs to use them intransitively,ajouté aux verbes 'gi' pour les utiliser intransitivement,"type:v,intransinfix:suk/1vv",i,,H1,,,m
sungaaq,1,sv,vv,m,n,,,,,n,,,s,,,s,,,s,,'if at least','si au moins',,,mode:cond,A1,,,m
sungnik,1,sn,nv,m,n,,,,,n,,,n,,,n,,,n,,to smell or taste like something,sentir ou goûter comme quelque chose,,,,H1,,,m
sungnik,2,sn,nn,t,,,,,,n,,,n,,,n,,,n,,"something with the odour or the taste of (when the suffix is in final position, the word can be interpreted verbally in the 3rd person)","quelque chose avec la senteur ou le goût de (lorsque le suffixe est en position finale, le mot peut être interprété verbalement à la 3ème personne)",,,,H1,,,m
suq,1,sv,vv,m,t,,,i/1vv,,n,,,s,,,n,,,n,,prolonged action: 'for a long time',action prolongée: 'pendant longtemps',,,,A1,,,m
suujaq,1,sv,vv,m,n,,,,,n,,,s,,,s,,,s,,prolonged action: 'for a long time',action prolongée: 'pendant longtemps',,,,H1,suuq/1vn+u/1nv+jaq/2vv,,m
suuq,1,sv,vn,t,,,,,juuq,n,,,s,,,s,,,s,,"one who habitually performs an action (when the suffix is in final position, the word can be interpreted verbally in the 3rd person)","quelqu'un qui accomplit habituellement une action (sque le suffixe est en position finale, le mot peut être interprété verbalement à la 3ème personne)",,,,H1,,,m
suuq,2,sn,nn,t,,,,,,n,,,s,,,s,,,s,,similiraty; one who is similar to,similarité; quelqu'un qui est similaire à,,,,H1,,,m
t,1,sv,vv,m,t,,,si/1vv,,n,,-,-,,-,-,,-,-,,"the action is done for, to, because of, instead of s.o. or s.t. (depending on the action)","l'action est faite, exercée, appliquée sur lui, à lui, par égard à lui, à cause de lui, au lieu de lui",type:v,,,S1,,,nm
taaq,1,sn,nv,m,i,,,,,n,,,n,,,n,,,n,,acquisition: 'to get',"acquisition: 'obtenir', 'acquérir'",,,,H1,,,m
taaq,2,sn,nn,t,,,,,,n,,,n,,,n,,,n,,newly-acquired thing,quelque chose nouvellement acquise,,,,H1,,,m
taasaaq,1,sn,nn,t,,,,,,n,,,n,,,n,,,n,,newly-acquired thing,quelque chose nouvellement acquise,,,,H1,,,m
tainnaq,1,sv,vv,m,n,,,,,n,,,s,,,s,,,s,,at last; finally,enfin; finalement,,,,H1 A1,,,m
talik,1,sn,nn,t,,,,,,n,,,s,,,s,,,s,,"possession, when referring to an antecedent",possession de quelque chose déjà mentionné,,,,H1,,,m
tamaat,1,sn,nn,t,,,,,,n,,,n,,,n,,,n,,every,chaque,,,,A1,,,m
tannaq,1,sn,nn,t,,,,,,n,,,s,,,s,,,s,,"squatness: 'short, fat'",courtaud,,,,H1,,North Baffin,m
tappiaq,1,sv,vv,m,n,,,,,n,,,n,,,n,,,n,,possibility of something undesirable: 'might',possibilité de quelque chose d'indésirable: 'pourrait',,,mode:caus,H1,,,m
taq,2,sn,nv,m,i,,,,,n,,,n,,,n,,,n,,to gather; to get,cueillir; recueillir,,,,H1,,,m
taq,1,sv,vv,m,t,,,si/1vv ri/1vv,,n,,,n,,,n,,,n,,repetitive action: 'back and forth'; 'up and down'; 'in and out'; 'off and on'; often,action répétitive avec idée de va-et-vient; souvent,,,,A1,,,m
taqaq,1,sn,nv,m,i,,,,,n,,,s,,,s,,,s,,"possession, when referring to an antecedent",possession de quelque chose déjà mentionné,,,,H1,,,m
tigi,1,sv,vv,m,i,,,,,n,,,n,,,n,,,n,,to be as ... as,être aussi ... que,,,,H1,,,m
tiq,1,sv,vn,t,,,,,,n,,,n,,,n,,,n,,young precocious person who performs an action well,jeune personne précoce qui accomplit une action bien,,,,H1,,,m
tit,1,sv,vv,m,t,,,si/1vv,,n,,,n s,,,n,,,n,,to cause s.o. (refl.: oneself) to do s.t.,causer; faire que qqn (réfl.: soi-même) fait qqch.,,,,H1 A1,,,m
tsaliq,1,sv,vv,m,n,,,,,n,,,s,,,s,,,s,,really,réellement,,,,,,,m
tsiaq,2,sn,nn,t,,,,,,n,,,s,,,s,,,s,,fine; good; nice,gentil; bon,,,,H1,,,m
tsiaq,1,sv,vv,m,n,,,,,n,,,s,,,s,,,s,,"to do something well, in a good manner","faire quelque chose bien, correctement",,,,H1,,,m
tsiavak,1,sn,nn,t,,,,,,n,,,s,,,s,,,s,,"very fine, very good, excellent","très bon, excellent",,,,H1,,,m
tsiriaq,1,sv,vv,m,i,,,,,n,,,s,,,s,,,s,,to be easily ...,être facilement ...,,,,A1,,,m
ttaili,1,sv,vv,m,n,,,,,n,,taili,n,,taili,n,,taili,n,,"refusal, refraining from: 'to refuse to'",refuser de,,,,H1,,,m
ttauq,1,q,q,,,,,,,n,,tauq,n,,tauq,n,,tauq,n,,"and, also","et, aussi",,,,H1,,,m
ttuq,1,sn,nv,m,i,,,,,n,,,s,,,s,,,s,,to start to have a large ...; to start to have a lot of ...,"commencer à avoir un grand, de grands ...; commencer à avoir beaucoup de ...",,,,,tu/1nv+#incho#/1vv,,m
tu,1,sn,nv,m,i,t,,,tuu,n,,* tuu,s,,* tuu,s,,* tuu,s,,"largeness, to have a large ...; to have a lot of ...","avoir un grand, de grands...; avoir beaucoup de ...",,,,H1 A1,,,m
tu,1,sv,vv,m,n,,,,,n,,,s,,,s,,,s,,profoundly; very much; very often,profondément; beaucoup; très souvent,,,,S1,,,m
tuaq,2,sn,nn,t,,,,,,n,,,s,,,s,,,s,,exclusiveness: 'only one'; 'only',exclusivité: 'seulement un'; 'seul',,,,H1 A1,,,m
tuaq,1,sv,vv,m,n,,,,,n,,,s,,,s,,,s,,immediacy of action: 'as soon as...'; exclusiveness of action: 'if only ...',action immédiate: 'aussitôt que ...'; exclusivité de l'action: 'si seulement...',,,mode:caus mode:cond,H1 A1,,,m
tuinnaq,2,sn,nn,t,,,,,,n,,,s,,,s,,,s,,"ordinaryness, lack of special qualities; 'only', 'just', 'merely'","ordinaire, sans qualité spéciale; 'seulement', 'simplement'",,,,H1,,,m
tuinnaq,1,sv,vv,m,n,,,,,n,,,s,,,s,,,s,,merely; does nothing more than; simply; solely; only; sometimes 'always',simplement; seulement; ne fait rien d'autre que; quelquefois 'toujours',,,,H1,,,m
tuinnariaqaq,1,sv,vv,m,n,,,,,n,,,s,,,s,,,s,,only action remaining to be done: 'to have nothing more to do but...',seule action qui reste: 'n'avoir rien d'autre à faire que...',,,,H1,tuinnaq/1vv+jariaq/1vn+qaq/1nv,,m
tuinnau,1,sv,vv,m,n,,,,,n,,,n,,,n,,,n,,action done by all,l'action est accomplie par tous,,,,S1,,,m
tukaq,1,sn,nn,t,,,,,,n,,,i(i),,,s,,,s,,old,vieux,,,,H1,,,m
tuq,1,sv,vv,m,t,,,i/1vv,,n,,,s,,,n,,,n,,prolonged action: 'for a long time',action prolongée: 'pendant longtemps',,,,A1,,,m
tuq,1,sn,nv,m,i,t,,,,n,,,n,,,n,,,n,,to use an object in the manner in which it was intended to be used; food: 'to consume',utiliser un objet de la façon dont il a été prévu ou de la façon le plus normale; aliments: 'consommer',,,,H1,,,m
tuqaq,1,sn,nn,t,,,,,,n,,,i(i),,,n s,,,n s,,"old, acquired long time ago","vieux, acquis il y a longtemps",,,,A1,,,m
tuuq,2,sn,nv,f,,,,,,n,,,s,,,s,,,s,,longing: 'I wish I ...','Que j'aimerais donc...',,,,H1,,,m
tuuq,1,sn,nn,t,,,,,,n,,,n,,,n,,,n,,attached to animal names to mean 'a place abounding in...',attaché à des noms d'animaux pour signifier 'un endroit abondant en...',,,,H1,,,m
u,1,sn,nv,m,n,,,,,n,i(ng),,s i(i),i(ng) -,,s,i(ng),,s,i(ng),existence; is,existence; est,,,,H1,,,m
ujjaq,1,sv,vn,t,,,,,,i(jj),,,si(jj),,,son,,,son s,,"s.o. for, to, with whom the action is done; s.t. transported, fetched, brought; s.t. caught, trapped","qqch. pour, à, avec laquelle une action est faite; qqch. qui est apporté, transporté, qu'on est allé chercher; qqch. qui est attrapé, pris",,,,A1,,,m
ujjuaq,1,sv,vv,m,i,,,,,n,?,,s,?,,s,?,,s,?,competition in the action of the verb,compétition dans l'action du verbe,,,number:d number:p,A1,,,m
uq,2,sn,nv,m,i,,,,-,-,,,s,,-,-,,-,-,,"to imitate, to do like","imiter, faire comme",cas:sim,,,,,,m
uq,1,sn,nv,m,i,,,,-,-,,,s,,-,-,,-,-,,to go through,"aller, passer à travers",cas:via,,,S1,,,m
uq,3,sv,vv,m,t,,,ri/1vv,,n,,,s,,,s,,,s,,frequentative: many subjects; many objects,fréquentatif: plusieurs sujets; plusieurs objets,,,,,,,m
uqqaq,1,sv,vv,m,t,,,i/1vv,,n,decap,,i(i),,,s,decap,,s,decap,"to do an action upon something repeatedly: ""one after another""","faire une action de manière répétée sur quelque chose: ""l'un après l'autre""",,,,,,,m
usiq,1,sv,vn,t,,,,,,n i(jj),i(jj) -,,s si(jj),i(jj) -,,s si(jj),i(jj) -,* * qusiq,s son n,i(jj) - -,custom; way; habit; usual way of doing s.t.,coutume; façon; habitude; manière usuelle de faire qqchose,,,,H1 A1,,,m
ut,2,sn,nn,t,,,,,uti,n,,* uti,s,,* uti,s,,* uti,s,,"bag, container for; s.t. which has...","sac, contenant pour; qqch. qui contient...",,,,H1,,,m
ut,1,sv,vn,t,,,,,uti utik utaq gut guti gutik gutaq ut uti utik utaq,n n n n n n n n i(jj) i(jj) i(jj) i(jj),i(jj) i(jj) i(jj) i(jj) - - - - - - - -,* uti utik utaq guti,s s s s s,i(jj) i(jj) i(jj) i(jj) -,* uti utik utaq guti,s s s s s,i(jj) i(jj) i(jj) i(jj) -,rut ruti rutik rutaq * uti utik utaq qut quti qutik qutaq,s s s s s s s s n n n n,- - - - s(a) s(a) s(a) s(a) - - - -,"object, instrument, tool for doing s.t.; time of an action","objet, instrument, outil pour faire qqch.; temps d'une action",type:v function:nv function:vv,,,,,,m
uti,3,sn,nn,t,,,,,-,-,,-,-,,-,-,,,s,,indefinite pronoun 'one',pronom indéfini 'quelqu'un',id:juq/1vn,,,H1,,,m
uti,1,sv,vv,m,t,,,ji/1vv,,i(jj),,,si(jj),,,son,,,son s,,"to do the action for, to, with him/her/it; with him/her/it; with words of movement: to bring, fetch, transport s.t.","faire l'action pour, à, avec qqn; avec mots de movement: apporter, aller chercher, transporter qqch.",,,,A1,,,m
vaalliq,1,sv,vv,m,n,,,,,n,,paalliq,n,,paalliq,n,,paalliq,n,,to do something that one didn't do before,faire quelque chose qu'on ne faisait pas auparavant,,,,H1,,,m
vagiq,1,sv,vv,m,n,,,,vagiiq,n,,pagiq pagiiq,n,,pagiq pagiiq,n,,pagiq pagiiq,n,,to have already done something,avoir déjà accompli une action,,,,H1,,,m
vai,1,sn,nv,m,i,,,,,n,,pai,n,,pai,n,,pai,n,,"to go towards a location (used with traditional locations: side, back, front, ...)","aller vers un endroit (utilisé avec les endroits traditionnels: côté, devant, derrière, ...)",,,,A1,,,m
vak,1,sv,vv,m,n,,,,,n,,pak,n,,pak,n,,pak,n,,common action: 'often',action commune: 'souvent',,,,H1,,,m
valatsi,1,sv,vv,m,i,,,,,n,,palatsi,n,,palatsi,n,,palatsi,n,,to sound like,ressembler par le son à; avoir le même son que,,,,H1,,,m
vallai,1,sv,vv,m,n,,,,,n,,pallai,n,,pallai,n,,pallai,n,,probably,probablement,,,,H1,,,m
vallia,1,sv,vv,m,n,,,,,n,,pallia,n,,pallia,n,,pallia,n,,progression; 'gradually',progression; 'graduellement',,,,H1,,,m
vaq,1,sn,nv,m,i,,,,,n,,paq,n,,paq,n,,paq,n,,"to go towards a location (used with traditional locations: side, back, front, ...)","aller vers un endroit (utilisé avec les endroits traditionnels: côté, devant, derrière, ...)",,,,A1,,,m
vasaaq,1,sv,vv,m,n,,,,,n,,pasaaq,n,,pasaaq,n,,pasaaq,n,,to do what one never did before,faire ce qu'on n'a jamais fait auparavant,,,,A1,,,m
vasik,1,sn,nv,m,i,,,,,n,,pasik,n,,pasik,n,,pasik,n,,"to be too close of a location (used with traditional locations: side, back, front, ...)","être trop près d'un endroit (utilisé avec les endroits traditionnels: côté, devant, derrière, ...)",,,,A1,,,m
vigjuaraaluk,1,sv,vn,t,,,,,,n,,,s,,,s,,,s,,"extreme: 'very, very' (when the suffix is in final position, the word can be interpreted as a verb in the 3rd person)","extrême: 'très, très' (lorsque le suffixe est en position finale, le mot peut être interprété comme un verbe à la 3ème personne)",,,,H1,,,m
vik,3,sv,vn,t,,,,,,i(p) n,,,a,,,son,,,son,,place where the action of the verb takes place,endroit où se passe l'action du verbe,,,,H1,,,m
vik,1,sn,nn,t,,,,,,n,,,s,,,s,,,s,,enormous; most impressive,énorme; très impressionnant,,,,H1,,,m
vik,2,sv,vv,m,n,,,,,n,,,s,,,s,,,s,,finality: 'for good'; 'forever',finalité: 'pour de bon'; 'pour toujours',,,,H1,,,m
viniq,1,sn,nn,t,,,,,,n,,,s,,,s,,,s,,denotes a former state; unperceived past following gerundive ending,dénote un état antérieur; passé non perçu lorsqu'il suit une terminaison gérondive,,,,H1,,,m
vvaluk,1,sn,nv,m,i,,,,,n,,,s,,,s,,,s,,to sound like,ressembler par le son à; avoir le même son que,,,,H1,,,m
