morpheme,variant,nb,number,transitivity,type,nature,compositionRoot,plural,intransSuffix,transSuffix,antipassive,engMean,freMean,combination,dialect,root,rootType,rootNb,END
aajiiq,,1,,i,v,,,,,,,to agree; to consent,être d'accord; consentir,,,aa,a,2,.
aibvaq,,,,i,v,,,,,,,to bag a walrus,tuer un morse,,,aiviq,n,1,.
aibviaq,,,,i,v,,,,,,,to have gone walrus hunting,être parti à la chasse au morse,,,aiviq,n,1,.
aiviqiaq,,,,,n,,,,,,,small valley bird with walrus-like grunts,petit oiseau de vallée qui grogne comme un morse,aiviq/1n+?,,,,,.
akiraq,,1,,,n,,,,,,,"opponent, ennemy","opposant, adversaire, ennemi",,,aki,n,1,.
akiraq,,1,,i,v,,,,,nil,,to oppose s.o.; to retaliate against s.o.,s'opposer à quelqu'un; se venger de quelqu'un,aki/1n+?,,aki,n,1,.
allaat,,1,,,a,,,,,,,even,même,,,,,,.
iksiva,,1,,i,v,,,,,,,to sit down,s'asseoir,,,iksik,v,1,.
ikummaq,,1,,i,v,,,,,,,to start to burn with flame; to flame,commencer à brûler avec une flamme,ikuma/1v+#incho#/1vv,,,,,.
iluunnatik,iluunnanik,1,p,,pr,,,,,,,all; all of them; every one,tous; chacun d'eux,,,,,,.
immaqaa,,1,,,a,,,,,,,perhaps,peut-être,,,,,,.
iqqanaijaaq,iqanaijaaq,1,,,n,,,,,,,job; position,emploi,iqqaq/1v+naq/1vv+iq/2vv+jaq/2vv+?,,,,,.
irajuq,,1,,i,v,a,,,,,,to be hit in the eye,être frappé dans l'oeil,,,iji,,,.
irajuq,,1,,i,v,,,,,,,to hit oneself in the eye,se frapper dans l'oeil,,,iji,,,.
kapuq,,1,,t,v,,,,,,nnik/1vv,to /spear s.t. or s.o. several times or repeatedly,/percer ou /transpercer qqn ou qqch. plusieurs fois ou de façon répétée,,,kapi,v,1,.
katujjaq,,1,,,n,,,,,,,who is ganged up against,qqn contre qui on s'est coalisé,katu/1v+uti/1vv+jaq/1vn,,,,,.
katujji,,1,,i,v,,,,,,,to gang up against s.o.,se coaliser contre quelqu'un,katu/1v+uti/1vv+ji/1vv,,,,,.
katuti,,1,,t,v,,,,,,,to gang up against s.o.,se coaliser contre quelqu'un,katu/1v+uti/1vv,,,,,.
kibjaq,kipjaq,1,,t,v,,,,,,nnik/1vv,[-R]to /cut s.t. with scissors or shears,,kipi/1v+?,,,,,.
kibji,,1,,t,v,,,,,,i/1vv,to /cut s.t. or s.o. severely; to /mutilate s.t. or s.o.,/couper qqch. ou qqn sévèrement; /mutiler qqn,kipi/1v+?,,,,,.
kibluq,,1,,t,v,,,,,,si/1vv,to /cut s.t. in many places or repeatedly,/couper qqch. en plusieurs endroits ou de façon répétée,kipi/1v+?,,,,,.
kinguni,,1,,,n,,,,,,,rear; back; space behind s.t.,arrière; derrière; espace derrière qqch.,,,,,,.
kussuk,,1,,,n,,,,,,,(1) icicle (2) sap (3) chewing gum,(1) glaçon (2) sève (3) gomme à macher,,,kusiq,n,1,.
kuttuq,,1,,,n,,,,,,,puddle accumulated from dripping,flaque accumulée par ruissellement,,,kusiq,n,1,.
kutuk,,1,,i,v,,,,,,,"to drip repeatedly, in several places, or continuously","tomber goutte à goutte de façon répétée, ou en plusieurs endroits, ou continuellement",kusiq/1v+?,,,,,.
minguliq,,1,,t,v,,,,,,i/1vv,to cover the ground with fine powder snow,couvrir le sol avec une fine neige poudreuse,,,,,,.
paggijji,,1,,i,v,,,,,,,"to mind s.t. (house, camp, family, possessions) while the owner or hunters are away; to stay home in order to protect camp","s'occuper de qqch. (maison, campement, famille, biens) pendant que le propriétaire ou les chasseurs sont absents; rester à la maison pour protéger le campement",paggi/1v+uti/1vv+ji/1vv,,,,,.
paggiti,,1,,t,v,,,,,,,"to mind s.t. (house, camp, family, possessions) while the owner or hunters are away; to stay home in order to protect camp","s'occuper de qqch. (maison, campement, famille, biens) pendant que le propriétaire ou les chasseurs sont absents; rester à la maison pour protéger le campement",paggi/1v+uti/1vv,,,,,.
piliriaq,,1,,,n,,,,,,,program; item,programme; item,,,,,,.
qaggijji,,1,,i,v,,,,,,,"to bring, to fetch s.t.","apporter, rapporter qqch.",qaggi/1v+uti/1vv+ji/1vv,,,,,.
qaggiti,,1,,t,v,,,,,,,"to bring, to fetch s.t.","apporter, rapporter qqch.",qaggi/1v+uti/1vv,,,,,.
qaiqqaq,,1,,t,v,,,,,,si/1vv,[-R]to /plane or /smooth or /polish s.t.,[-R]/raboter ou /lisser ou /polir qqch.,,,,,,.
qairak,,1,,i,v,a,,,,,,to be smooth-surfaced,avoir une surface lisse,,,,,,.
qujannamiiq,,1,,i,v,,,,,,,to thank someone,remercier quelqu'un,,,quja,v,1,.
sapujji,,1,,i,v,,,,,,,to protect s.o.,protéger qqn,sapu/1v+uti/1vv+ji/1vv,,,,,.
sapujji,,1,,t,v,,,,,,,to protect s.o.,protéger qqn,sapu/1v+uti/1vv,,,,,.
sivuni,,1,,,n,,,,,,,"the front, the space ahead or in front",le devant; l'espace devant,,,sivu,n,1,.
taimannganit,,1,,,a,,,,,,,since; since that time forward,depuis; depuis ce temps,taimanngat/1a+nit/tn-abl-p,,,,,.
taimanngat,,1,,,a,,,,,,,since; since that time forward,depuis; depuis ce temps,,,,,,.
tarsiq,,1,,t,v,res,,,,,i/1vv,"[-R]to /smear, /smudge, /mark s.t. with dirt, ink, or other substance (WCHB) [R]to get smudged or smeared or marked","[-R]/tacher, /marquer qqch. avec de la poussière, de l'encre, ou une autre substance (WCHB) [R]se tacher, se marquer de poussière, d'encre, ou d'une autre substance",tarsaq/1n+?,,,,,.
tingmiaq,,,,,n,,,,,,,bird,oiseau,,,tingmi,v,1,.
tungiliq,tungaliq,1,,,n,,,,,,,deputy,député,,,tunga,n,1,.
turrujji,,1,,i,v,,,,,,,to raise s.o. up in the air and slam him to the ground,soulever qqn dans les airs et le claquer au sol,turru/1v+uti/1vv+ji/1vv,,,,,.
turruti,,1,,t,v,,,,,,,to raise s.o. up in the air and slam him to the ground,soulever qqn dans les airs et le claquer au sol,turru/1v+uti/1vv,,,,,.
upinnarani,,1,,,a,,,,,,,No wonder!,Ce n'est pas surprenant!,,,upit,v,1,.
