morpheme;type;case;number;perPoss;numbPoss;V-form;V-actions;V-action1;V-action2;t-form;t-actions;t-action1;t-action2;k-form;k-actions;k-action1;k-action2;q-form;q-actions;q-action1;q-action2;condPrec;sources
t;tn;nom;p;;;t;n;n;;-;-;-;;t;s;s;;t;s;s;;pl:t;H2
k;tn;nom;d;;;k;n-n-allV;allV;x;k;i(ii);iallV(i);;k;s-n-allV;sallV;x;k;s-n-allV;sallV;x;;H2
it;tn;nom;p;;;it;n-decap;n;decap;it;n;n;;it;s-decap;s;decap;it;s-decap;s;decap;;H2
up;tn;gen;s;;;up;n-decap;n;decap;up up;s-decap i(i);s i(i);decap -;up;s-decap;s;decap;up;s-decap;s;decap;;H2
k;tn;gen;d;;;k;n-n-allV;allV;x;k;i(ii);iallV(i);;k;s-n-allV;sallV;x;k;s-n-allV;sallV;x;;H2
it;tn;gen;p;;;it;n-decap;n;decap;it;n;n;;it;s-decap;s;decap;it;s-decap;s;decap;;H2
mik;tn;acc;s;;;mik;n;n;;mik mik;a i(i);a i(i);;mik;if(id:giik/1nn,s,nas);nas a if(id:giik/1nn,s);;mik mik;if(id:juq/1vn|id:ksaq/1nn|id:jaq/3vn,s,nas) n;if(id:juq/1vn|id:ksaq/1nn|id:jaq/3vn,s,nas) n; - s;;H2
ngnik;tn;acc;d;;;ngnik;n-n-allV;allV;x;ngnik;i(ii);iallV(i);;ngnik;s-n-allV;sallV;x;ngnik;s-n-allV;sallV;x;;H2
nik;tn;acc;p;;;nik;n;n;;nik nik;a i(i);a i(i);;nik;nas;nas a;;nik nik;if(id:juq/1vn|id:ksaq/1nn|id:jaq/3vn,s,nas) n;if(id:juq/1vn|id:ksaq/1nn|id:jaq/3vn,s,nas) n; - s;;H2
mut;tn;dat;s;;;mut;n;n;;mut mut mut;a i(i) n-s;a i(i) n;"""- - s""";nut nut;nas n-s;nas n;"""- s""";nut nut;if(id:juq/1vn|id:ksaq/1nn|id:jaq/3vn|id:jaq/1vn,s,nas) n;if(id:juq/1vn|id:ksaq/1nn|id:jaq/3vn|id:jaq/1vn,s,nas) n; - s;;H2
ngnut;tn;dat;d;;;ngnut;n-n-allV;allV;x;ngnut;i(ii);iallV(i);;ngnut;s-n-allV;sallV;x;ngnut;s-n-allV;sallV;x;;H2
nut;tn;dat;p;;;nut;n;n;;nut nut nut;a i(i) n-s;a i(i) n;"""- - s""";nut nut;nas n-s;nas n;"""- s""";nut nut;if(id:juq/1vn|id:ksaq/1nn|id:jaq/3vn,s,nas) n;if(id:juq/1vn|id:ksaq/1nn|id:jaq/3vn,s,nas) n; - s;;H2
mit;tn;abl;s;;;mit;n;n;;mit mit;a i(i);a i(i);;mit;nas;nas;;mit mit;if(id:juq/1vn|id:ksaq/1nn|id:jaq/3vn,s,nas) n;if(id:juq/1vn|id:ksaq/1nn|id:jaq/3vn,s,nas) n; - s;;H2
ngnit;tn;abl;d;;;ngnit;n-n-allV;allV;x;ngnit;i(ii);iallV(i);;ngnit;s-n-allV;sallV;x;ngnit;s-n-allV;sallV;x;;H2
nit;tn;abl;p;;;nit;n;n;;nit nit;a i(i);a i(i);;nit;nas;nas;;nit nit;if(id:juq/1vn|id:ksaq/1nn|id:jaq/3vn,s,nas) n;if(id:juq/1vn|id:ksaq/1nn|id:jaq/3vn,s,nas) n; - s;;H2
mi;tn;loc;s;;;mi;n;n;;mi mi;a i(i);a i(i);;mi;nas;nas;;mi mi;if(id:juq/1vn|id:ksaq/1nn|id:jaq/3vn,s,nas) n;if(id:juq/1vn|id:ksaq/1nn|id:jaq/3vn,s,nas) n; - s;;H2
ngni;tn;loc;d;;;ngni;n-n-allV;allV;x;ngni;i(ii);iallV(i);;ngni;s-n-allV;sallV;x;ngni;s-n-allV;sallV;x;;H2
ni;tn;loc;p;;;ni;n;n;;ni ni;a i(i);a i(i);;ni;nas;nas;;ni ni;if(id:juq/1vn|id:ksaq/1nn|id:jaq/3vn,s,nas) n;if(id:juq/1vn|id:ksaq/1nn|id:jaq/3vn,s,nas) n; - s;;H2
tut;tn;sim;s;;;tut;n;n;;tut;i(i);i(i);;tut;n;n;;tut;if(id:juq/1vn,s,n);n if(id:juq/1vn,s);;;H2
ktut;tn;sim;d;;;ktut ktitut;n-n-allV n-n-allV;allV;x;ktut ktitut;i(ii) i(ii);iallV(i);;ktut ktitut;s-n-allV s-n-allV;sallV;x;ktut ktitut;s-n-allV s-n-allV;sallV;x;;H2
titut;tn;sim;p;;;titut;n;n;;titut;i(i);i(i);;titut;n;n;;titut;if(id:juq/1vn,s,n);n if(id:juq/1vn,s);;;H2
kkut;tn;via;s;;;kkut;n;n;;kkut;i(i);i(i);;kkut;s;s;;kkut;s;s;;;H2
kkut;tn;via;d;;;kkut;n-n-allV;allV;x;kkut;i(ii);iallV(i);;kkut;s-n-allV;sallV;x;kkut;s-n-allV;sallV;x;;H2
tigut;tn;via;p;;;tigut;n;n;;tigut;i(i);i(i);;tigut;n;n;;tigut;if(id:juq/1vn,s,n);n if(id:juq/1vn,s);;;H2
ga;tn;nom;s;1;s;ga;n;n;;ga;i(i);i(i);;ga;s;s;;ra;s;fus;;;H2
kka;tn;nom;d;1;s;kka;n-n-allV;allV;x;kka;i(ii);iallV(i);;kka;s-n-allV;sallV;x;kka;s-n-allV;sallV;x;;H2
kka;tn;nom;p;1;s;kka;n;n;;kka;i(i);i(i);;kka;s;s;;kka;s;s;;;H2
ma;tn;gen;s;1;s;ma;n;n;;ma ma;i(i) i(im);i(i) i(im);;ma ma;s nas;s a;;ma ma;nas s;nas s;;;H2
kka;tn;gen;d;1;s;kka ngma;n-n-allV n-n-allV;allV;x;kka ngma;i(ii) i(ii);iallV(i);;kka ngma;s-n-allV s-n-allV;sallV;x;kka ngma;s-n-allV s-n-allV;sallV;x;;H2
kka;tn;gen;p;1;s;kka;n;n;;kka;i(i);i(i);;kka;s;s;;kka;s;s;;;H2
mnik;tn;acc;s;1;s;mnik;n;n;;mnik;i(i);i(i);;mnik;s;s;;mnik;s;s;;;H2
mnik;tn;acc;d;1;s;mnik;n-n-allV;allV;x;mnik;i(ii);iallV(i);;mnik;s-n-allV;sallV;x;mnik;s-n-allV;sallV;x;;H2
mnik;tn;acc;p;1;s;mnik;n;n;;mnik;i(i);i(i);;mnik;s;s;;mnik;s;s;;;H2
mnut;tn;dat;s;1;s;mnut;n;n;;mnut;i(i);i(i);;mnut;s;s;;mnut;s;s;;;H2
mnut;tn;dat;d;1;s;mnut;n-n-allV;allV;x;mnut;i(ii);iallV(i);;mnut;s-n-allV;sallV;x;mnut;s-n-allV;sallV;x;;H2
mnut;tn;dat;p;1;s;mnut;n;n;;mnut;i(i);i(i);;mnut;s;s;;mnut;s;s;;;H2
mnit;tn;abl;s;1;s;mnit;n;n;;mnit;i(i);i(i);;mnit;s;s;;mnit;s;s;;;H2
mnit;tn;abl;d;1;s;mnit;n-n-allV;allV;x;mnit;i(ii);iallV(i);;mnit;s-n-allV;sallV;x;mnit;s-n-allV;sallV;x;;H2
mnit;tn;abl;p;1;s;mnit;n;n;;mnit;i(i);i(i);;mnit;s;s;;mnit;s;s;;;H2
mni;tn;loc;s;1;s;mni;n;n;;mni;i(i);i(i);;mni;s;s;;mni;s;s;;;H2
mni;tn;loc;d;1;s;mni;n-n-allV;allV;x;mni;i(ii);iallV(i);;mni;s-n-allV;sallV;x;mni;s-n-allV;sallV;x;;H2
mni;tn;loc;p;1;s;mni;n;n;;mni;i(i);i(i);;mni;s;s;;mni;s;s;;;H2
ptut;tn;sim;s;1;s;ptut;n;n;;ptut;i(i);i(i);;ptut;s;s;;ptut;s;s;;;H2
ptut;tn;sim;d;1;s;ptut;n-n-allV;allV;x;ptut;i(ii);iallV(i);;ptut;s-n-allV;sallV;x;ptut;s-n-allV;sallV;x;;H2
ptut;tn;sim;p;1;s;ptut ptitut;n n;n;;ptut ptitut;i(i) i(i);i(i);;ptut ptitut;s s;s;;ptut ptitut;s s;s;;;H2
pkut;tn;via;s;1;s;pkut;n;n;;pkut;i(i);i(i);;pkut;s;s;;pkut;s;s;;;H2
pkut;tn;via;d;1;s;pkut;n-n-allV;allV;x;pkut;i(ii);iallV(i);;pkut;s-n-allV;sallV;x;pkut;s-n-allV;sallV;x;;H2
pkut;tn;via;p;1;s;pkut ptigut;n n;n;;pkut ptigut;i(i) i(i);i(i);;pkut ptigut;s s;s;;pkut ptigut;s s;s;;;H2
vuk;tn;nom;s;1;d;vuk kpuk kput;n n n;n;;vuk kpuk kput;i(i) i(i) i(i);i(i);;vuk kpuk kput;s s s;s;;vuk puk put;s n n;s n n;;;H2
kpuk;tn;nom;d;1;d;kpuk;n-n-allV;allV;x;kpuk;i(ii);iallV(i);;kpuk;s-n-allV;sallV;x;kpuk;s-n-allV;sallV;x;;H2
vuk;tn;nom;p;1;d;vuk kpuk kput;n n n;n;;vuk kpuk kput;i(i) i(i) i(i);i(i);;vuk kpuk kput;s s s;s;;vuk puk put;s n n;s n n;;;H2
mnuk;tn;gen;s;1;d;mnuk;n;n;;mnuk;i(i);i(i);;mnuk;s;s;;mnuk;s;s;;;H2
ngnuk;tn;gen;d;1;d;ngnuk;n-n-allV;allV;x;ngnuk;i(ii);iallV(i);;ngnuk;s-n-allV;sallV;x;ngnuk;s-n-allV;sallV;x;;H2
mnuk;tn;gen;p;1;d;mnuk;n;n;;mnuk;i(i);i(i);;mnuk;s;s;;mnuk;s;s;;;H2
ptingnik;tn;acc;s;1;d;ptingnik;n;n;;ptingnik;i(i);i(i);;ptingnik;s;s;;ptingnik;s;s;;;H2
ptingnik;tn;acc;d;1;d;ptingnik;n-n-allV;allV;x;ptingnik;i(ii);iallV(i);;ptingnik;s-n-allV;sallV;x;ptingnik;s-n-allV;sallV;x;;H2
ptingnik;tn;acc;p;1;d;ptingnik;n;n;;ptingnik;i(i);i(i);;ptingnik;s;s;;ptingnik;s;s;;;H2
ptingnut;tn;dat;s;1;d;ptingnut;n;n;;ptingnut;i(i);i(i);;ptingnut;s;s;;ptingnut;s;s;;;H2
ptingnut;tn;dat;d;1;d;ptingnut;n-n-allV;allV;x;ptingnut;i(ii);iallV(i);;ptingnut;s-n-allV;sallV;x;ptingnut;s-n-allV;sallV;x;;H2
ptingnut;tn;dat;p;1;d;ptingnut;n;n;;ptingnut;i(i);i(i);;ptingnut;s;s;;ptingnut;s;s;;;H2
ptingnit;tn;abl;s;1;d;ptingnit;n;n;;ptingnit;i(i);i(i);;ptingnit;s;s;;ptingnit;s;s;;;H2
ptingnit;tn;abl;d;1;d;ptingnit;n-n-allV;allV;x;ptingnit;i(ii);iallV(i);;ptingnit;s-n-allV;sallV;x;ptingnit;s-n-allV;sallV;x;;H2
ptingnit;tn;abl;p;1;d;ptingnit;n;n;;ptingnit;i(i);i(i);;ptingnit;s;s;;ptingnit;s;s;;;H2
ptingni;tn;loc;s;1;d;ptingni;n;n;;ptingni;i(i);i(i);;ptingni;s;s;;ptingni;s;s;;;H2
ptingni;tn;loc;d;1;d;ptingni;n-n-allV;allV;x;ptingni;i(ii);iallV(i);;ptingni;s-n-allV;sallV;x;ptingni;s-n-allV;sallV;x;;H2
ptingni;tn;loc;p;1;d;ptingni;n;n;;ptingni;i(i);i(i);;ptingni;s;s;;ptingni;s;s;;;H2
ptitut;tn;sim;s;1;d;ptitut;n;n;;ptitut;i(i);i(i);;ptitut;s;s;;ptitut;s;s;;;H2
ptitut;tn;sim;d;1;d;ptitut;n-n-allV;allV;x;ptitut;i(ii);iallV(i);;ptitut;s-n-allV;sallV;x;ptitut;s-n-allV;sallV;x;;H2
ptitut;tn;sim;p;1;d;ptitut;n;n;;ptitut;i(i);i(i);;ptitut;s;s;;ptitut;s;s;;;H2
ptigut;tn;via;s;1;d;ptigut;n;n;;ptigut;i(i);i(i);;ptigut;s;s;;ptigut;s;s;;;H2
ptigut;tn;via;d;1;d;ptigut;n-n-allV;allV;x;ptigut;i(ii);iallV(i);;ptigut;s-n-allV;sallV;x;ptigut;s-n-allV;sallV;x;;H2
ptigut;tn;via;p;1;d;ptigut;n;n;;ptigut;i(i);i(i);;ptigut;s;s;;ptigut;s;s;;;H2
vut;tn;nom;s;1;p;vut kput;n n;n;;vut kput;i(i) i(i);i(i);;vut kput;s s;s;;vut put;s n;s n;;;H2
vut;tn;nom;d;1;p;vut kput;n-n-allV n-n-allV;allV;x;vut kput;i(ii) i(ii);iallV(i);;vut kput;s-n-allV s-n-allV;sallV;x;vut put;s-n-allV n-n-allV;sallV allV;x x;;H2
vut;tn;nom;p;1;p;vut kput;n n;n;;vut kput;i(i) i(i);i(i);;vut kput;s s;s;;vut put;s n;s n;;;H2
pta;tn;gen;s;1;p;pta;n;n;;pta;i(i);i(i);;pta;s;s;;pta;s;s;;;H2
pta;tn;gen;d;1;p;pta kta;n-n-allV n-n-allV;allV;x;pta kta;i(ii) i(ii);iallV(i);;pta kta;s-n-allV s-n-allV;sallV;x;pta kta;s-n-allV s-n-allV;sallV;x;;H2
pta;tn;gen;p;1;p;pta;n;n;;pta;i(i);i(i);;pta;s;s;;pta;s;s;;;H2
ptingnik;tn;acc;s;1;p;ptingnik;n;n;;ptingnik;i(i);i(i);;ptingnik;s;s;;ptingnik;s;s;;;H2
ptingnik;tn;acc;d;1;p;ptingnik;n-n-allV;allV;x;ptingnik;i(ii);iallV(i);;ptingnik;s-n-allV;sallV;x;ptingnik;s-n-allV;sallV;x;;H2
ptingnik;tn;acc;p;1;p;ptingnik;n;n;;ptingnik;i(i);i(i);;ptingnik;s;s;;ptingnik;s;s;;;H2
ptingnut;tn;dat;s;1;p;ptingnut;n;n;;ptingnut;i(i);i(i);;ptingnut;s;s;;ptingnut;s;s;;;H2
ptingnut;tn;dat;d;1;p;ptingnut;n-n-allV;allV;x;ptingnut;i(ii);iallV(i);;ptingnut;s-n-allV;sallV;x;ptingnut;s-n-allV;sallV;x;;H2
ptingnut;tn;dat;p;1;p;ptingnut;n;n;;ptingnut;i(i);i(i);;ptingnut;s;s;;ptingnut;s;s;;;H2
ptingnit;tn;abl;s;1;p;ptingnit;n;n;;ptingnit;i(i);i(i);;ptingnit;s;s;;ptingnit;s;s;;;H2
ptingnit;tn;abl;d;1;p;ptingnit;n-n-allV;allV;x;ptingnit;i(ii);iallV(i);;ptingnit;s-n-allV;sallV;x;ptingnit;s-n-allV;sallV;x;;H2
ptingnit;tn;abl;p;1;p;ptingnit;n;n;;ptingnit;i(i);i(i);;ptingnit;s;s;;ptingnit;s;s;;;H2
ptingni;tn;loc;s;1;p;ptingni;n;n;;ptingni;i(i);i(i);;ptingni;s;s;;ptingni;s;s;;;H2
ptingni;tn;loc;d;1;p;ptingni;n-n-allV;allV;x;ptingni;i(ii);iallV(i);;ptingni;s-n-allV;sallV;x;ptingni;s-n-allV;sallV;x;;H2
ptingni;tn;loc;p;1;p;ptingni;n;n;;ptingni;i(i);i(i);;ptingni;s;s;;ptingni;s;s;;;H2
ptitut;tn;sim;s;1;p;ptitut;n;n;;ptitut;i(i);i(i);;ptitut;s;s;;ptitut;s;s;;;H2
ptitut;tn;sim;d;1;p;ptitut;n-n-allV;allV;x;ptitut;i(ii);iallV(i);;ptitut;s-n-allV;sallV;x;ptitut;s-n-allV;sallV;x;;H2
ptitut;tn;sim;p;1;p;ptitut;n;n;;ptitut;i(i);i(i);;ptitut;s;s;;ptitut;s;s;;;H2
ptigut;tn;via;s;1;p;ptigut;n;n;;ptigut;i(i);i(i);;ptigut;s;s;;ptigut;s;s;;;H2
ptigut;tn;via;d;1;p;ptigut;n-n-allV;allV;x;ptigut;i(ii);iallV(i);;ptigut;s-n-allV;sallV;x;ptigut;s-n-allV;sallV;x;;H2
ptigut;tn;via;p;1;p;ptigut;n;n;;ptigut;i(i);i(i);;ptigut;s;s;;ptigut;s;s;;;H2
it;tn;nom;s;2;s;it;n-decap;n;decap;it;i(i);i(i);;it;s;s;decap;it;s-decap;s;decap;;H2
kkik;tn;nom;d;2;s;kkik;n-n-allV;allV;x;kkik;i(ii);iallV(i);;kkik;s-n-allV;sallV;x;kkik;s-n-allV;sallV;x;;H2
tit;tn;nom;p;2;s;tit;n;n;;tit;i(i);i(i);;tit;s;s;;tit;s;s;;;H2
vit;tn;gen;s;2;s;vit kpit;n n;n;;vit kpit;i(i) s;i(i) s;;vit kpit;s s;s;;vit pit;s n;s n;;;H2
kpik;tn;gen;d;2;s;kpik kkik vit kpit;n-n-allV n-n-allV n-n-allV n-n-allV;allV;x;kpik kkik vit kpit;i(ii) i(ii) i(ii) i(ii);iallV(i);;kpik kkik vit kpit;s-n-allV s-n-allV s-n-allV s-n-allV;sallV;x;kpik kkik vit kpit;s-n-allV s-n-allV s-n-allV s-n-allV;sallV;x;;H2
tit;tn;gen;p;2;s;tit vit kpit;n n n;n;;tit vit kpit;i(i) i(i) i(i);i(i);;tit vit kpit;s s s;s;;tit vit kpit;s s s;s;;;H2
ngnik;tn;acc;s;2;s;ngnik;n;n;;ngnik;i(i);i(i);;ngnik;s;s;;ngnik nik;s nas;s nas;;;H2
ngnik;tn;acc;d;2;s;ngnik;n-n-allV;allV;x;ngnik;i(ii);iallV(i);;ngnik;s-n-allV;sallV;x;ngnik;s-n-allV;sallV;x;;H2
ngnik;tn;acc;p;2;s;ngnik;n;n;;ngnik;i(i);i(i);;ngnik;s;s;;ngnik;s;s;;;H2
ngnut;tn;dat;s;2;s;ngnut;n;n;;ngnut;i(i);i(i);;ngnut;s;s;;ngnut nut;s nas;s nas;;;H2
ngnut;tn;dat;d;2;s;ngnut;n-n-allV;allV;x;ngnut;i(ii);iallV(i);;ngnut;s-n-allV;sallV;x;ngnut;s-n-allV;sallV;x;;H2
ngnut;tn;dat;p;2;s;ngnut;n;n;;ngnut;i(i);i(i);;ngnut;s;s;;ngnut;s;s;;;H2
ngnit;tn;abl;s;2;s;ngnit;n;n;;ngnit;i(i);i(i);;ngnit;s;s;;ngnit nit;s nas;s nas;;;H2
ngnit;tn;abl;d;2;s;ngnit;n-n-allV;allV;x;ngnit;i(ii);iallV(i);;ngnit;s-n-allV;sallV;x;ngnit;s-n-allV;sallV;x;;H2
ngnit;tn;abl;p;2;s;ngnit;n;n;;ngnit;i(i);i(i);;ngnit;s;s;;ngnit;s;s;;;H2
