morpheme;type;case;number;perPoss;numbPoss;V-form;V-actions;V-action1;V-action2;t-form;t-actions;t-action1;t-action2;k-form;k-actions;k-action1;k-action2;q-form;q-actions;q-action1;q-action2;condPrec;sources
ngmingnut;tn;dat;d;3;d;ngmingnut;n-n-allV;allV;x;ngmingnut;i(ii);iallV(i);;ngmingnut;s-n-allV;sallV;x;ngmingnut;s-n-allV;sallV;x;;H2
mingnut;tn;dat;p;3;d;mingnut;n;n;;mingnut;i(i);i(i);;mingnut;s;s;;mingnut;nas;nas;;;H2
mingnit;tn;abl;s;3;d;mingnit;n;n;;mingnit;i(i);i(i);;mingnit;s;s;;mingnit;nas;nas;;;H2
ngmingnit;tn;abl;d;3;d;ngmingnit;n-n-allV;allV;x;ngmingnit;i(ii);iallV(i);;ngmingnit;s-n-allV;sallV;x;ngmingnit;s-n-allV;sallV;x;;H2
mingnit;tn;abl;p;3;d;mingnit;n;n;;mingnit;i(i);i(i);;mingnit;s;s;;mingnit;nas;nas;;;H2
mingni;tn;loc;s;3;d;mingni;n;n;;mingni;i(i);i(i);;mingni;s;s;;mingni;nas;nas;;;H2
ngmingni;tn;loc;d;3;d;ngmingni;n-n-allV;allV;x;ngmingni;i(ii);iallV(i);;ngmingni;s-n-allV;sallV;x;ngmingni;s-n-allV;sallV;x;;H2
mingni;tn;loc;p;3;d;mingni;n;n;;mingni;i(i);i(i);;mingni;s;s;;mingni;nas;nas;;;H2
miktut;tn;sim;s;3;d;miktut;n;n;;miktut;i(i);i(i);;miktut;s;s;;miktut;nas;nas;;;H2
ngmiktut;tn;sim;d;3;d;ngmiktut;n-n-allV;allV;x;ngmiktut;i(ii);iallV(i);;ngmiktut;s-n-allV;sallV;x;ngmiktut;s-n-allV;sallV;x;;H2
miktitut;tn;sim;p;3;d;miktitut;n;n;;miktitut;i(i);i(i);;miktitut;s;s;;miktitut;nas;nas;;;H2
mikkut;tn;via;s;3;d;mikkut;n;n;;mikkut;i(i);i(i);;mikkut;s;s;;mikkut;nas;nas;;;H2
ngmikkut;tn;via;d;3;d;ngmikkut;n-n-allV;allV;x;ngmikkut;i(ii);iallV(i);;ngmikkut;s-n-allV;sallV;x;ngmikkut;s-n-allV;sallV;x;;H2
miktigut;tn;via;p;3;d;miktigut;n;n;;miktigut;i(i);i(i);;miktigut;s;s;;miktigut;nas;nas;;;H2
tik;tn;nom;s;3;p;tik sik;n n;n;;tik sik;i(i) i(i);i(i);;tik sik;s s;s;;tik sik;s s;s;;;H2
ktik;tn;nom;d;3;p;ktik ksik;n-n-allV n-n-allV;allV;x;ktik ksik;i(ii) i(ii);iallV(i);;ktik ksik;s-n-allV s-n-allV;sallV;x;ktik ksik;s-n-allV s-n-allV;sallV;x;;H2
tik;tn;nom;p;3;p;tik sik;n n;n;;tik sik;i(i) i(i);i(i);;tik sik;s s;s;;tik sik;s s;s;;;H2
mik;tn;gen;s;3;p;mik;n;n;;mik;i(i);i(i);;mik mmik;s s;s;;mik;nas;nas;;;H2
ngmik;tn;gen;d;3;p;ngmik;n-n-allV;allV;x;ngmik;i(ii);iallV(i);;ngmik;s-n-allV;sallV;x;ngmik;s-n-allV;sallV;x;;H2
mik;tn;gen;p;3;p;mik;n;n;;mik;i(i);i(i);;mik mmik;s s;s;;mik;nas;nas;;;H2
mingnik;tn;acc;s;3;p;mingnik;n;n;;mingnik;i(i);i(i);;mingnik;s;s;;mingnik;nas;nas;;;H2
ngmingnik;tn;acc;d;3;p;ngmingnik;n-n-allV;allV;x;ngmingnik;i(ii);iallV(i);;ngmingnik;s-n-allV;sallV;x;ngmingnik;s-n-allV;sallV;x;;H2
mingnik;tn;acc;p;3;p;mingnik;n;n;;mingnik;i(i);i(i);;mingnik;s;s;;mingnik;nas;nas;;;H2
mingnut;tn;dat;s;3;p;mingnut;n;n;;mingnut;i(i);i(i);;mingnut;s;s;;mingnut;nas;nas;;;H2
ngmingnut;tn;dat;d;3;p;ngmingnut;n-n-allV;allV;x;ngmingnut;i(ii);iallV(i);;ngmingnut;s-n-allV;sallV;x;ngmingnut;s-n-allV;sallV;x;;H2
mingnut;tn;dat;p;3;p;mingnut;n;n;;mingnut;i(i);i(i);;mingnut;s;s;;mingnut;nas;nas;;;H2
mingnit;tn;abl;s;3;p;mingnit;n;n;;mingnit;i(i);i(i);;mingnit;s;s;;mingnit;nas;nas;;;H2
ngmingnit;tn;abl;d;3;p;ngmingnit;n-n-allV;allV;x;ngmingnit;i(ii);iallV(i);;ngmingnit;s-n-allV;sallV;x;ngmingnit;s-n-allV;sallV;x;;H2
mingnit;tn;abl;p;3;p;mingnit;n;n;;mingnit;i(i);i(i);;mingnit;s;s;;mingnit;nas;nas;;;H2
mingni;tn;loc;s;3;p;mingni;n;n;;mingni;i(i);i(i);;mingni;s;s;;mingni;nas;nas;;;H2
ngmingni;tn;loc;d;3;p;ngmingni;n-n-allV;allV;x;ngmingni;i(ii);iallV(i);;ngmingni;s-n-allV;sallV;x;ngmingni;s-n-allV;sallV;x;;H2
mingni;tn;loc;p;3;p;mingni;n;n;;mingni;i(i);i(i);;mingni;s;s;;mingni;nas;nas;;;H2
miktut;tn;sim;s;3;p;miktut;n;n;;miktut;i(i);i(i);;miktut;s;s;;miktut;nas;nas;;;H2
ngmiktut;tn;sim;d;3;p;ngmiktut;n-n-allV;allV;x;ngmiktut;i(ii);iallV(i);;ngmiktut;s-n-allV;sallV;x;ngmiktut;s-n-allV;sallV;x;;H2
miktitut;tn;sim;p;3;p;miktitut;n;n;;miktitut;i(i);i(i);;miktitut;s;s;;miktitut;nas;nas;;;H2
mikkut;tn;via;s;3;p;mikkut;n;n;;mikkut;i(i);i(i);;mikkut;s;s;;mikkut;nas;nas;;;H2
ngmikkut;tn;via;d;3;p;ngmikkut;n-n-allV;allV;x;ngmikkut;i(ii);iallV(i);;ngmikkut;s-n-allV;sallV;x;ngmikkut;s-n-allV;sallV;x;;H2
miktigut;tn;via;p;3;p;miktigut;n;n;;miktigut;i(i);i(i);;miktigut;s;s;;miktigut;nas;nas;;;H2
nga;tn;nom;s;4;s;nga a;n n-s;n n;#NOM?;nga a;i(i) s;i(i) s;;nga a;s s-s;s s;"""- s""";nga a;s s-s;s s; - s;;H2
ngik;tn;nom;d;4;s;ngik;n-n-allV;allV;x;ngik ngik;i(ii) n;iallV(i) n;;ngik;s-n-allV;sallV;x;ngik;s-n-allV;sallV;x;;H2
ngit;tn;nom;p;4;s;ngit;n;n;;ngit ngit;i(i) s;i(i) s;;ngit;s;s;;ngit;s;s;;;H2
ngata;tn;gen;s;4;s;ngata;n;n;;ngata ngata;i(i) s;i(i) s;;ngata;s;s;;ngata;s;s;;;H2
ngita;tn;gen;d;4;s;ngita ngikta;n-n-allV n-n-allV;allV;x;ngita ngikta;i(ii) i(ii);iallV(i);;ngita ngikta;s-n-allV s-n-allV;sallV;x;ngita ngikta;s-n-allV s-n-allV;sallV;x;;H2
ngita;tn;gen;p;4;s;ngita;n;n;;ngita ngita;i(i) s;i(i) s;;ngita;s;s;;ngita;s;s;;;H2
nganik;tn;acc;s;4;s;nganik anik;n n-s;n n;#NOM?;nganik anik;i(i) s;i(i) s;;nganik anik;s s-s;s s;"""- s""";nganik anik;s s-s;s s; - s;;H2
ngingnik;tn;acc;d;4;s;ngingnik;n-n-allV;allV;x;ngingnik;i(ii);iallV(i);;ngingnik;s-n-allV;sallV;x;ngingnik;s-n-allV;sallV;x;;H2
ngingnik;tn;acc;p;4;s;ngingnik;n;n;;ngingnik ngingnik;i(i) s;i(i) s;;ngingnik;s;s;;ngingnik;s;s;;;H2
nganut;tn;dat;s;4;s;nganut anut;n n-s;n n;#NOM?;nganut anut;i(i) s;i(i) s;;nganut anut;s s-s;s s;"""- s""";nganut anut;s s-s;s s; - s;;H2
ngingnut;tn;dat;d;4;s;ngingnut;n-n-allV;allV;x;ngingnut;i(ii);iallV(i);;ngingnut;s-n-allV;sallV;x;ngingnut;s-n-allV;sallV;x;;H2
ngingnut;tn;dat;p;4;s;ngingnut;n;n;;ngingnut ngingnut;i(i) s;i(i) s;;ngingnut;s;s;;ngingnut;s;s;;;H2
nganit;tn;abl;s;4;s;nganit anit;n n-s;n n;#NOM?;nganit anit;i(i) s;i(i) s;;nganit anit;s s-s;s s;"""- s""";nganit anit;s s-s;s s; - s;;H2
ngingnit;tn;abl;d;4;s;ngingnit;n-n-allV;allV;x;ngingnit;i(ii);iallV(i);;ngingnit;s-n-allV;sallV;x;ngingnit;s-n-allV;sallV;x;;H2
ngingnit;tn;abl;p;4;s;ngingnit;n;n;;ngingnit ngingnit;i(i) s;i(i) s;;ngingnit;s;s;;ngingnit;s;s;;;H2
ngani;tn;loc;s;4;s;ngani ani;n n-s;n n;#NOM?;ngani ani;i(i) s;i(i) s;;ngani ani;s s-s;s s;"""- s""";ngani ani;s s-s;s s; - s;;H2
ngingni;tn;loc;d;4;s;ngingni;n-n-allV;allV;x;ngingni;i(ii);iallV(i);;ngingni;s-n-allV;sallV;x;ngingni;s-n-allV;sallV;x;;H2
ngingni;tn;loc;p;4;s;ngingni;n;n;;ngingni ngingni;i(i) s;i(i) s;;ngingni;s;s;;ngingni;s;s;;;H2
ngatut;tn;sim;s;4;s;ngatut;n;n;;ngatut atut;i(i) s;i(i) s;;ngatut;s;s;;ngatut;s;s;;;H2
ngiktitut;tn;sim;d;4;s;ngiktitut ngiktut;n-n-allV n-n-allV;allV;x;ngiktitut ngiktut;i(ii) i(ii);iallV(i);;ngiktitut ngiktut;s-n-allV s-n-allV;sallV;x;ngiktitut ngiktut;s-n-allV s-n-allV;sallV;x;;H2
ngititut;tn;sim;p;4;s;ngititut;n;n;;ngititut ngititu;i(i) s;i(i) s;;ngititut;s;s;;ngititut;s;s;;;H2
ngagut;tn;via;s;4;s;ngagut agut;n n-s;n n;#NOM?;ngagut agut;i(i) s;i(i) s;;ngagut agut;s s-s;s s;"""- s""";ngagut agut;s s-s;s s; - s;;H2
ngiktigut;tn;via;d;4;s;ngiktigut ngikkut;n-n-allV n-n-allV;allV;x;ngiktigut ngikkut;i(ii) i(ii);iallV(i);;ngiktigut ngikkut;s-n-allV s-n-allV;sallV;x;ngiktigut ngikkut;s-n-allV s-n-allV;sallV;x;;H2
ngitigut;tn;via;p;4;s;ngitigut;n;n;;ngitigut ngitigut;i(i) s;i(i) s;;ngitigut;s;s;;ngitigut;s;s;;;H2
ngak;tn;nom;s;4;d;ngak;n;n;;ngak;i(i);i(i);;ngak;s;s;;ngak;s;s;;;H2
ngik;tn;nom;d;4;d;ngik;n-n-allV;allV;x;ngik;i(ii);iallV(i);;ngik;s-n-allV;sallV;x;ngik;s-n-allV;sallV;x;;H2
ngik;tn;nom;p;4;d;ngik ngit;n n;n;;ngik ngit;i(i) i(i);i(i);;ngik ngit;s s;s;;ngik ngit;s s;s;;;H2
ngata;tn;gen;s;4;d;ngata ngakta;n n;n;;ngata ngakta;i(i) i(i);i(i);;ngata ngakta;s s;s;;ngata ngakta;nas nas;nas;;;H2
ngita;tn;gen;d;4;d;ngita ngikta;n-n-allV n-n-allV;allV;x;ngita ngikta;i(ii) i(ii);iallV(i);;ngita ngikta;s-n-allV s-n-allV;sallV;x;ngita ngikta;s-n-allV s-n-allV;sallV;x;;H2
ngita;tn;gen;p;4;d;ngita;n;n;;ngita;i(i);i(i);;ngita;s;s;;ngita;s;s;;;H2
ngangnik;tn;acc;s;4;d;ngangnik;n;n;;ngangnik;i(i);i(i);;ngangnik;s;s;;ngangnik;s;s;;;H2
ngingnik;tn;acc;d;4;d;ngingnik;n-n-allV;allV;x;ngingnik;i(ii);iallV(i);;ngingnik;s-n-allV;sallV;x;ngingnik;s-n-allV;sallV;x;;H2
ngingnik;tn;acc;p;4;d;ngingnik;n;n;;ngingnik;i(i);i(i);;ngingnik;s;s;;ngingnik;s;s;;;H2
ngangnut;tn;dat;s;4;d;ngangnut;n;n;;ngangnut;i(i);i(i);;ngangnut;s;s;;ngangnut;s;s;;;H2
ngingnut;tn;dat;d;4;d;ngingnut;n-n-allV;allV;x;ngingnut;i(ii);iallV(i);;ngingnut;s-n-allV;sallV;x;ngingnut;s-n-allV;sallV;x;;H2
ngingnut;tn;dat;p;4;d;ngingnut;n;n;;ngingnut;i(i);i(i);;ngingnut;s;s;;ngingnut;s;s;;;H2
ngangnit;tn;abl;s;4;d;ngangnit;n;n;;ngangnit;i(i);i(i);;ngangnit;s;s;;ngangnit;s;s;;;H2
ngingnit;tn;abl;d;4;d;ngingnit;n-n-allV;allV;x;ngingnit;i(ii);iallV(i);;ngingnit;s-n-allV;sallV;x;ngingnit;s-n-allV;sallV;x;;H2
ngingnit;tn;abl;p;4;d;ngingnit;n;n;;ngingnit;i(i);i(i);;ngingnit;s;s;;ngingnit;s;s;;;H2
ngangni;tn;loc;s;4;d;ngangni;n;n;;ngangni;i(i);i(i);;ngangni;s;s;;ngangni;s;s;;;H2
ngingni;tn;loc;d;4;d;ngingni;n-n-allV;allV;x;ngingni;i(ii);iallV(i);;ngingni;s-n-allV;sallV;x;ngingni;s-n-allV;sallV;x;;H2
ngingni;tn;loc;p;4;d;ngingni;n;n;;ngingni;i(i);i(i);;ngingni;s;s;;ngingni;s;s;;;H2
ngaktut;tn;sim;s;4;d;ngaktut;n;n;;ngaktut;i(i);i(i);;ngaktut;s;s;;ngaktut;s;s;;;H2
ngiktitut;tn;sim;d;4;d;ngiktitut;n-n-allV;allV;x;ngiktitut;i(ii);iallV(i);;ngiktitut;s-n-allV;sallV;x;ngiktitut;s-n-allV;sallV;x;;H2
ngititut;tn;sim;p;4;d;ngititut;n;n;;ngititut;i(i);i(i);;ngititut;s;s;;ngititut;s;s;;;H2
ngakkut;tn;via;s;4;d;ngakkut;n;n;;ngakkut;i(i);i(i);;ngakkut;s;s;;ngakkut;s;s;;;H2
ngiktigut;tn;via;d;4;d;ngiktigut;n-n-allV;allV;x;ngiktigut;i(ii);iallV(i);;ngiktigut;s-n-allV;sallV;x;ngiktigut;s-n-allV;sallV;x;;H2
ngitigut;tn;via;p;4;d;ngitigut;n;n;;ngitigut;i(i);i(i);;ngitigut;s;s;;ngitigut;s;s;;;H2
ngat;tn;nom;s;4;p;ngat;n;n;;ngat ngat;i(i) s;i(i) s;;ngat;s;s;;ngat;s;s;;;H2
ngik;tn;nom;d;4;p;ngik;n-n-allV;allV;x;ngik;i(ii);iallV(i);;ngik;s-n-allV;sallV;x;ngik;s-n-allV;sallV;x;;H2
ngit;tn;nom;p;4;p;ngit;n;n;;ngit ngit;i(i) s;i(i) s;;ngit;s;s;;ngit;s;s;;;H2
ngata;tn;gen;s;4;p;ngata;n;n;;ngata ngata;i(i) s;i(i) s;;ngata;s;s;;ngata;nas;nas;;;H2
ngita;tn;gen;d;4;p;ngita ngikta;n-n-allV n-n-allV;allV;x;ngita ngikta;i(ii) i(ii);iallV(i);;ngita ngikta;s-n-allV s-n-allV;sallV;x;ngita ngikta;s-n-allV s-n-allV;sallV;x;;H2
ngita;tn;gen;p;4;p;ngita;n;n;;ngita ngita;i(i) s;i(i) s;;ngita;s;s;;ngita;s;s;;;H2
ngangnik;tn;acc;s;4;p;ngangnik;n;n;;ngangnik ngangnik;i(i) s;i(i) s;;ngangnik;s;s;;ngangnik;s;s;;;H2
ngingnik;tn;acc;d;4;p;ngingnik;n-n-allV;allV;x;ngingnik;i(ii);iallV(i);;ngingnik;s-n-allV;sallV;x;ngingnik;s-n-allV;sallV;x;;H2
ngingnik;tn;acc;p;4;p;ngingnik ingnik;n n;n;;ngingnik ngingnik;i(i) s;i(i) s;;ngingnik;s;s;;ngingnik;s;s;;;H2
ngangnut;tn;dat;s;4;p;ngangnut;n;n;;ngangnut ngangnut;i(i) s;i(i) s;;ngangnut;s;s;;ngangnut;s;s;;;H2
ngingnut;tn;dat;d;4;p;ngingnut;n-n-allV;allV;x;ngingnut;i(ii);iallV(i);;ngingnut;s-n-allV;sallV;x;ngingnut;s-n-allV;sallV;x;;H2
ngingnut;tn;dat;p;4;p;ngingnut;n;n;;ngingnut ngingnut;i(i) s;i(i) s;;ngingnut;s;s;;ngingnut;s;s;;;H2
ngangnit;tn;abl;s;4;p;ngangnit;n;n;;ngangnit ngangnit;i(i) s;i(i) s;;ngangnit;s;s;;ngangnit;s;s;;;H2
ngingnit;tn;abl;d;4;p;ngingnit;n-n-allV;allV;x;ngingnit;i(ii);iallV(i);;ngingnit;s-n-allV;sallV;x;ngingnit;s-n-allV;sallV;x;;H2
ngingnit;tn;abl;p;4;p;ngingnit;n;n;;ngingnit ngingnit;i(i) s;i(i) s;;ngingnit;s;s;;ngingnit;s;s;;;H2
ngangni;tn;loc;s;4;p;ngangni;n;n;;ngangni ngangni;i(i) s;i(i) s;;ngangni;s;s;;ngangni;s;s;;;H2
ngingni;tn;loc;d;4;p;ngingni;n-n-allV;allV;x;ngingni;i(ii);iallV(i);;ngingni;s-n-allV;sallV;x;ngingni;s-n-allV;sallV;x;;H2
ngingni;tn;loc;p;4;p;ngingni;n;n;;ngingni ngingni;i(i) s;i(i) s;;ngingni;s;s;;ngingni;s;s;;;H2
ngatitut;tn;sim;s;4;p;ngatitut ngatut;n n;n;;ngatitut ngatut;i(i) s;i(i) s;;ngatitut ngatut;s s;s;;ngatitut ngatut;s s;s;;;H2
ngiktitut;tn;sim;d;4;p;ngiktitut;n-n-allV;allV;x;ngiktitut;i(ii);iallV(i);;ngiktitut;s-n-allV;sallV;x;ngiktitut;s-n-allV;sallV;x;;H2
ngititut;tn;sim;p;4;p;ngititut;n;n;;ngititut ngititut;i(i) s;i(i) s;;ngititut;s;s;;ngititut;s;s;;;H2
ngatigut;tn;via;s;4;p;ngatigut ngagut;n n;n;;ngatigut ngagut;i(i) s;i(i) s;;ngatigut ngagut;s s;s;;ngatigut ngagut;s s;s;;;H2
ngiktigut;tn;via;d;4;p;ngiktigut;n-n-allV;allV;x;ngiktigut;i(ii);iallV(i);;ngiktigut;s-n-allV;sallV;x;ngiktigut;s-n-allV;sallV;x;;H2
ngitigut;tn;via;p;4;p;ngitigut;n;n;;ngitigut ngitigut;i(i) s;i(i) s;;ngitigut;s;s;;ngitigut;s;s;;;H2
