morpheme;key;type;function;position;transitivity;nature;plural;antipassive;V-form;V-actions;V-action1;V-action2;t-form;t-actions;t-action1;t-action2;k-form;k-actions;k-action1;k-action2;q-form;q-actions;q-action1;q-action2;engMean;freMean;condPrec;condPrecTrans;condOnNext;sources;composition;dialect;mobility
qauq;1;sn;nv;m;i;;;;qauq;n;n;;qauq;s;s;;qauq;s;s;;qauq;s;s;;to possess many ...;posséder plusieurs ...;;;;H1;qaq/1nv+uq/3vv;;m
qauti;1;sn;nn;t;;;;;qauti;n;n;;qauti;s;s;;qauti;s;s;;qauti;s;s;;container for ...;contenant pour ...;;;;H1;qaq/1nv+ut/1vn;;m
qi;1;sv;vv;m;n;;;;qi;n;n;;qi;s;s;;qi;s;s;;qi;s;s;;to do s.t. by oneself;faire qqchose par soi-même;;;;S1;;;m
qqaaq;1;sv;vv;m;n;;;;qqaaq;n;n;;qqaaq;s;s;;qqaaq;s;s;;qqaaq;s;s;;first (before doing anything else);;;;;;;;
qqau;1;sv;vv;m;n;;;;qqau;n;n;;qqau;s;s;;qqau;s;s;;qqau;s;s;;recent perceived past;passé récent perçu;;;;H1;;;m
qqautau;1;sv;vv;m;n;;;;qqautau;n;n;;qqautau;s;s;;qqautau;s;s;;qqautau;s;s;;to be the first one(s) to do s.t.;être le(s) premier(s) à faire qqchose;;;;A1;;;m
qquqtu;1;sn;nv;m;i;;;;qquqtu quqtu;n n;n;;qquqtu quqtu;s i(i);s i(i);;qquqtu quqtu;s s;s;;qquqtu quqtu;s s;s;;to have large (specified) body parts;avoir de grands ... (parties du corps);;;;A1;;;m
qquuq;1;sv;vv;m;n;;;;qquuq;n;n;;qquuq;s;s;;qquuq;s;s;;qquuq;s;s;;probably;probablement;;;;H1;;;m
qu;2;sv;vv;m;t;;;ji/1vv;qu;n;n;;qu;s;s;;qu;s;s;;qu;s;s;;to desire, to wish something to be done;désirer, souhaiter que quelque chose soit fait;;;;H1 A1;;;m
qu;1;sv;vv;m;n;;;;qu;n;n;;qu;s;s;;qu;s;s;;qu;s;s;;so that' when used with participal verb endings;de sorte que' lorsqu'utilisé avec des terminaisons verbales au participe;;;mode:part;H1 A1;;;m
quti;1;sn;nn;t;;;;;quti;n;n;;quti;s;s;;quti;s;s;;quti;s;s;;own;;;;;;;;
quuji;1;sv;vv;m;i;;;;quuji;n;n;;quuji;s;s;;quuji;s;s;;quuji;s;s;;ressemblance;;;;;;;;
rajaaq;1;sv;vv;m;n;;;;rajaaq;n;n;;rajaaq;s;s;;rajaaq;s;s;;rajaaq;s;s;;to be slow, to take a long time to;être lent, prendre longtemps à faire qqchose;;;;A1;;;m
ralaaq;1;sn;nn;t;;;;;ralaaq;n;n;;ralaaq;s;s;;ralaaq;s;s;;ralaaq;s;s;;small;petit;;;;H1;;;m
raq;1;sv;vv;m;n;;;;raq;n;n;;raq;s;s;;raq;s;s;;raq;s;s;;prolonged action, or action occurring in distinct stages, one part after another;action prolongée, ou action survenant par étapes distinctes successives;;;;H1;;;m
rataaq;1;sv;vv;m;n;;;;rataaq;n;n;;rataaq;s;s;;rataaq;s;s;;rataaq;s;s;;immediate perceived past;passé immédiat perçu: 'venir juste de';;;;H1;;;m
ri;1;sv;vv;m;i;;;;0;;0;;0;0;0;;0;0;0;;ri;s;s;;added to transitive verb stems such that they retain their transitive sense when followed by intransitive infixes or endings, to avoid their otherwise reflexive or passive senses;ajouté à des radicaux verbaux transitifs afin qu'ils conservent leur sens transitif lorsqu'ils sont suivis d'infixes ou de terminaisons intransitives, pour empêcher qu'ils prennent autrement leurs sens réfléchis ou passifs;antipassive:ri/1vv;t;;H1;;;m
rngaq;1;sv;vv;m;n;;;;rngaq;n;n;;rngaq;s;s;;rngaq;s;s;;rngaq;s;s;;for the first time;pour la première fois;;;;;;;m
rujuk;1;sv;vv;m;n;;;;rujuk;n;n;;rujuk;s;s;;rujuk;s;s;;rujuk;s;s;;to a small degree, slight amount;un peu;;;;H1;;;m
rujuq;1;sn;nn;m;;;;;rujuq;n;n;;rujuq;s;s;;rujuq;s;s;;rujuq;s;s;;collectiveness;;;;;;;;
rujuq;2;sn;nn;t;;;;;rujuq;n;n;;rujuq;s;s;;jujuq;s;s;;rujuq;s;s;;used on place names to indicate the place and the surrounding area, or following numerals to indicate approximate time;utilisé avec des noms d'endroit pour indiquer l'endroit et ses environs, ou après des nombres pour indiquer le temps approximatif;;;;H1;;;m
rulu;1;sn;nn;t;;;;;rulu ruluk;n n;n;;rulu ruluk;s s;s;;rulu ruluk;s s;s;;rulu ruluk;s s;s;;severe derogation (when this suffix is in final position, the word may be interpreted as a verb in the 3rp person);;;;;;;;
rulu;2;sv;vv;m;n;;;;rulu;n;n;;rulu;s;s;;rulu;s;s;;rulu;s;s;;severe derogation;;;;;;;;
rusiq;2;sn;nn;t;;;;;rusiq;n;n;;rusiq;s;s;;rusiq;s;s;;rusiq;s;s;;a unit of, a section or part of;une unité de, une section ou partie de;;;;H1;;;m
rusiq;1;sv;vn;t;;;;;rusiq;n;n;;rusiq;s;s;;rusiq;s;s;;rusiq;s;s;;a unit of, a section or part of;une unité de, une section ou partie de;;;;H1;;;m
saali;1;sv;vv;m;n;;;;saali;n;n;;saali;n;n;;saali;n;n;;saali;n;n;;early;tôt;;;;H1;;;m
saaq;1;sv;vv;m;n;;;;saaq;n;n;;saaq;s;s;;saaq;s;s;;saaq;s;s;;just;;;;;;;;
saaq;1;sv;vn;m;;;;;saaq;n;n;;saaq;s;s;;saaq;s;s;;saaq;s;s;;one who has just done the action;qui vient juste de faire l'action;;;;S1;;;m
saq;1;sv;vv;m;t;;;i/1vv;saq;n;n;;saq;s;s;;saq;n;n;;saq;n;n;;working at something to achieve a desired state, usually through prolonged action;en train de travailler à quelque chose pour obtenir un résultat désiré, d'habitude par une action prolongée;;;;H1;;;m
sarait;1;sv;vv;m;n;;;;sarait;n;n;;sarait;s;s;;sarait;n;n;;sarait;n;n;;easiness or speed of action: 'quickly';;;;;;;;
saritu;1;sv;vv;m;n;;;;saritu;n;n;;saritu;s;s;;saritu;n;n;;saritu;n;n;;to be slow;être lent;;;;A1;;;m
si;2;sv;vv;m;n;;;;si;n;n;;si;s;s;;si;s;s;;si si;s n;s n;;the action is being done now, where it was not the case before;;;;;;;;
si;4;sn;nv;m;t;;;i/1vv;si;n;n;;si;n;n;;si;n;n;;si;n;n;;to sight an animal;;;;;;;;
si;1;sv;vv;m;i;;;;si;n;n;;si;n;n;;si;n;n;;si;n;n;;added to transitive verb stems such that they retain their transitive sense when followed by intransitive infixes or endings, to avoid their otherwise reflexive or passive senses;ajouté à des radicaux verbaux transitifs afin qu'ils conservent leur sens transitif lorsqu'ils sont suivis d'infixes ou de terminaisons intransitives, pour empêcher qu'ils prennent autrement leurs sens réfléchis ou passifs;antipassive:si/1vv;t;;H1;;;m
si;3;sv;vv;m;i;;;;si;n;n;;si;n;n;;si;n;n;;si;n;n;;added to gi-verbs to make them intransitive;ajouté aux verbes 'gi' pour les rendre intransitifs;type:v,intransinfix:si/3vv;i;;H1;;;m
siaq;1;sn;nn;t;;;;;siaq;n;n;;siaq;n;n;;siaq;n;n;;siaq;n;n;;something found;qqch qui a été trouvé;;;;A1;;;m
siaq;1;sv;vn;t;;;;;siaq;n;n;;siaq;n;n;;siaq;n;n;;siaq;n;n;;an action that is waited for completion;une action dont on attend la complétion;;;;H1;;;m
siaq;1;sn;nv;m;i;;;;siaq;n;n;;siaq;n;n;;siaq;n;n;;siaq;n;n;;to come across;;;;;;;;
sima;1;sv;vv;m;n;;;;sima;n;n;;sima sima;s n;s n;;sima;n;n;;sima;n;n;;to be in a state acquired through a completed action (the word can be active, or passive);être dans un état atteint à la suite d'une action complétée (le mot peut être actif, ou passif);;;;H1 A1;;;m
siq;1;sv;vv;m;t;;;i/1vv;siq;n;n;;siq;n;n;;siq;n;n;;siq;n;n;;to put or bring out, to be put or brought up for some natural process;;;;;;;;
siq;2;sv;vn;t;;;;;siq;n;n;;siq;s;s;;siq;s;s;;siq;s;s;;custom;;;;;;;;
siri;1;sn;nv;m;i;;;;siri;n;n;;siri;s;s;;siri;?;?;;siri;?;?;;to have ache or pain at;avoir mal à;;;;A1;;;m
siuq;1;sn;nv;m;t;;;ri/1vv;siuq;n;n;;siuq;n;n;;siuq;n;n;;siuq;n;n;;searching, looking for s.t. (trans.: of, for, about s.o.);;;;;;;;
siut;1;sn;nn;t;;;;;siut;n;n;;siut siut;n i(i);n i(i);;siut;n;n;;siut;n;n;;something for, for use with s.t. or on some occasion;quelque chose pour, pour être utilisé avec qqch ou à une certaine occasion;;;;H1;;;m
suk;1;sv;vv;m;i;;;;suk;n;n;;suk;s;s;;suk;s;s;;0;0;0;;added to gi-verbs to use them intransitively;ajouté aux verbes 'gi' pour les utiliser intransitivement;type:v,intransinfix:suk/1vv;i;;H1;;;m
sungaaq;1;sv;vv;m;n;;;;sungaaq;n;n;;sungaaq;s;s;;sungaaq;s;s;;sungaaq;s;s;;if at least';si au moins';;;mode:cond;A1;;;m
sungnik;1;sn;nv;m;n;;;;sungnik;n;n;;sungnik;n;n;;sungnik;n;n;;sungnik;n;n;;to smell or taste like something;sentir ou goûter comme quelque chose;;;;H1;;;m
sungnik;2;sn;nn;t;;;;;sungnik;n;n;;sungnik;n;n;;sungnik;n;n;;sungnik;n;n;;something with the odour or the taste of (when the suffix is in final position, the word can be interpreted verbally in the 3rd person);quelque chose avec la senteur ou le goût de (lorsque le suffixe est en position finale, le mot peut être interprété verbalement à la 3ème personne);;;;H1;;;m
suq;1;sv;vv;m;t;;;i/1vv;suq;n;n;;suq;s;s;;suq;n;n;;suq;n;n;;prolonged action: 'for a long time';action prolongée: 'pendant longtemps';;;;A1;;;m
suujaq;1;sv;vv;m;n;;;;suujaq;n;n;;suujaq;s;s;;suujaq;s;s;;suujaq;s;s;;prolonged action: 'for a long time';action prolongée: 'pendant longtemps';;;;H1;suuq/1vn+u/1nv+jaq/2vv;;m
suuq;1;sv;vn;t;;;;;suuq juuq;n n;n;;suuq;s;s;;suuq;s;s;;suuq;s;s;;one who habitually performs an action (when the suffix is in final position, the word can be interpreted verbally in the 3rd person);quelqu'un qui accomplit habituellement une action (sque le suffixe est en position finale, le mot peut être interprété verbalement à la 3ème personne);;;;H1;;;m
suuq;2;sn;nn;t;;;;;suuq;n;n;;suuq;s;s;;suuq;s;s;;suuq;s;s;;similiraty;;;;;;;;
t;1;sv;vv;m;t;;;si/1vv;t;n;n;;0;0;0;;0;0;0;;0;0;0;;the action is done for, to, because of, instead of s.o. or s.t. (depending on the action);l'action est faite, exercée, appliquée sur lui, à lui, par égard à lui, à cause de lui, au lieu de lui;type:v;;;S1;;;nm
taaq;1;sn;nv;m;i;;;;taaq;n;n;;taaq;n;n;;taaq;n;n;;taaq;n;n;;acquisition: 'to get';acquisition: 'obtenir', 'acquérir';;;;H1;;;m
taaq;2;sn;nn;t;;;;;taaq;n;n;;taaq;n;n;;taaq;n;n;;taaq;n;n;;newly-acquired thing;quelque chose nouvellement acquise;;;;H1;;;m
taasaaq;1;sn;nn;t;;;;;taasaaq;n;n;;taasaaq;n;n;;taasaaq;n;n;;taasaaq;n;n;;newly-acquired thing;quelque chose nouvellement acquise;;;;H1;;;m
tainnaq;1;sv;vv;m;n;;;;tainnaq;n;n;;tainnaq;s;s;;tainnaq;s;s;;tainnaq;s;s;;at last;;;;;;;;
talik;1;sn;nn;t;;;;;talik;n;n;;talik;s;s;;talik;s;s;;talik;s;s;;possession, when referring to an antecedent;possession de quelque chose déjà mentionné;;;;H1;;;m
tamaat;1;sn;nn;t;;;;;tamaat;n;n;;tamaat;n;n;;tamaat;n;n;;tamaat;n;n;;every;chaque;;;;A1;;;m
tannaq;1;sn;nn;t;;;;;tannaq;n;n;;tannaq;s;s;;tannaq;s;s;;tannaq;s;s;;squatness: 'short, fat';courtaud;;;;H1;;North Baffin;m
tappiaq;1;sv;vv;m;n;;;;tappiaq;n;n;;tappiaq;n;n;;tappiaq;n;n;;tappiaq;n;n;;possibility of something undesirable: 'might';possibilité de quelque chose d'indésirable: 'pourrait';;;mode:caus;H1;;;m
taq;2;sn;nv;m;i;;;;taq;n;n;;taq;n;n;;taq;n;n;;taq;n;n;;to gather;;;;;;;;
taq;1;sv;vv;m;t;;;si/1vv ri/1vv;taq;n;n;;taq;n;n;;taq;n;n;;taq;n;n;;repetitive action: 'back and forth';;;;;;;;
taqaq;1;sn;nv;m;i;;;;taqaq;n;n;;taqaq;s;s;;taqaq;s;s;;taqaq;s;s;;possession, when referring to an antecedent;possession de quelque chose déjà mentionné;;;;H1;;;m
tigi;1;sv;vv;m;i;;;;tigi;n;n;;tigi;n;n;;tigi;n;n;;tigi;n;n;;to be as ... as;être aussi ... que;;;;H1;;;m
tiq;1;sv;vn;t;;;;;tiq;n;n;;tiq;n;n;;tiq;n;n;;tiq;n;n;;young precocious person who performs an action well;jeune personne précoce qui accomplit une action bien;;;;H1;;;m
tit;1;sv;vv;m;t;;;si/1vv;tit;n;n;;tit tit;n s;n s;;tit;n;n;;tit;n;n;;to cause s.o. (refl.: oneself) to do s.t.;causer;;;;;;;
tsaliq;1;sv;vv;m;n;;;;tsaliq;n;n;;tsaliq;s;s;;tsaliq;s;s;;tsaliq;s;s;;really;réellement;;;;;;;m
tsiaq;2;sn;nn;t;;;;;tsiaq;n;n;;tsiaq;s;s;;tsiaq;s;s;;tsiaq;s;s;;fine;;;;;;;;
tsiaq;1;sv;vv;m;n;;;;tsiaq;n;n;;tsiaq;s;s;;tsiaq;s;s;;tsiaq;s;s;;to do something well, in a good manner;faire quelque chose bien, correctement;;;;H1;;;m
tsiavak;1;sn;nn;t;;;;;tsiavak;n;n;;tsiavak;s;s;;tsiavak;s;s;;tsiavak;s;s;;very fine, very good, excellent;très bon, excellent;;;;H1;;;m
tsiriaq;1;sv;vv;m;i;;;;tsiriaq;n;n;;tsiriaq;s;s;;tsiriaq;s;s;;tsiriaq;s;s;;to be easily ...;être facilement ...;;;;A1;;;m
ttaili;1;sv;vv;m;n;;;;ttaili;n;n;;taili;n;n;;taili;n;n;;taili;n;n;;refusal, refraining from: 'to refuse to';refuser de;;;;H1;;;m
ttauq;1;q;q;;;;;;ttauq;n;n;;tauq;n;n;;tauq;n;n;;tauq;n;n;;and, also;et, aussi;;;;H1;;;m
ttuq;1;sn;nv;m;i;;;;ttuq;n;n;;ttuq;s;s;;ttuq;s;s;;ttuq;s;s;;to start to have a large ...;;;;;;;;
tu;1;sn;nv;m;i;t;;;tu tuu;n n;n;;tu tuu;s s;s;;tu tuu;s s;s;;tu tuu;s s;s;;largeness, to have a large ...;;;;;;;;
tu;1;sv;vv;m;n;;;;tu;n;n;;tu;s;s;;tu;s;s;;tu;s;s;;profoundly;;;;;;;;
tuaq;2;sn;nn;t;;;;;tuaq;n;n;;tuaq;s;s;;tuaq;s;s;;tuaq;s;s;;exclusiveness: 'only one';;;;;;;;
tuaq;1;sv;vv;m;n;;;;tuaq;n;n;;tuaq;s;s;;tuaq;s;s;;tuaq;s;s;;immediacy of action: 'as soon as...';;;;;;;;
tuinnaq;2;sn;nn;t;;;;;tuinnaq;n;n;;tuinnaq;s;s;;tuinnaq;s;s;;tuinnaq;s;s;;ordinaryness, lack of special qualities;;;;;;;;
tuinnaq;1;sv;vv;m;n;;;;tuinnaq;n;n;;tuinnaq;s;s;;tuinnaq;s;s;;tuinnaq;s;s;;merely;;;;;;;;
tuinnariaqaq;1;sv;vv;m;n;;;;tuinnariaqaq;n;n;;tuinnariaqaq;s;s;;tuinnariaqaq;s;s;;tuinnariaqaq;s;s;;only action remaining to be done: 'to have nothing more to do but...';seule action qui reste: 'n'avoir rien d'autre à faire que...';;;;H1;tuinnaq/1vv+jariaq/1vn+qaq/1nv;;m
tuinnau;1;sv;vv;m;n;;;;tuinnau;n;n;;tuinnau;n;n;;tuinnau;n;n;;tuinnau;n;n;;action done by all;l'action est accomplie par tous;;;;S1;;;m
tukaq;1;sn;nn;t;;;;;tukaq;n;n;;tukaq;i(i);i(i);;tukaq;s;s;;tukaq;s;s;;old;vieux;;;;H1;;;m
tuq;1;sv;vv;m;t;;;i/1vv;tuq;n;n;;tuq;s;s;;tuq;n;n;;tuq;n;n;;prolonged action: 'for a long time';action prolongée: 'pendant longtemps';;;;A1;;;m
tuq;1;sn;nv;m;i;t;;;tuq;n;n;;tuq;n;n;;tuq;n;n;;tuq;n;n;;to use an object in the manner in which it was intended to be used;;;;;;;;
tuqaq;1;sn;nn;t;;;;;tuqaq;n;n;;tuqaq;i(i);i(i);;tuqaq tuqaq;n s;n s;;tuqaq tuqaq;n s;n s;;old, acquired long time ago;vieux, acquis il y a longtemps;;;;A1;;;m
tuuq;2;sn;nv;f;;;;;tuuq;n;n;;tuuq;s;s;;tuuq;s;s;;tuuq;s;s;;longing: 'I wish I ...';Que j'aimerais donc...';;;;H1;;;m
tuuq;1;sn;nn;t;;;;;tuuq;n;n;;tuuq;n;n;;tuuq;n;n;;tuuq;n;n;;attached to animal names to mean 'a place abounding in...';attaché à des noms d'animaux pour signifier 'un endroit abondant en...';;;;H1;;;m
u;1;sn;nv;m;n;;;;u;n-i(ng);n;i(ng);u u;s-i(ng) i(i);s i(i);i(ng) -;u;s-i(ng);s;i(ng);u;s-i(ng);s;i(ng);existence;;;;;;;;
ujjaq;1;sv;vn;t;;;;;ujjaq;i(jj);i(jj);;ujjaq;si(jj);si(jj);;ujjaq;son;son;;ujjaq ujjaq;son s-?;son s;;s.o. for, to, with whom the action is done;;;;;;;;
ujjuaq;1;sv;vv;m;i;;;;ujjuaq;n;n;?;ujjuaq;s;s;?;ujjuaq;s-?;s;?;ujjuaq;s-?;s;?;competition in the action of the verb;compétition dans l'action du verbe;;;number:d number:p;A1;;;m
uq;2;sn;nv;m;i;;;;0;n;0;;uq;s;s;;0;0;0;;0;0;0;;to imitate, to do like;imiter, faire comme;case:sim;;;;;;m
uq;1;sn;nv;m;i;;;;0;n;0;;uq;s;s;;0;0;0;;0;0;0;;to go through;aller, passer à travers;case:via;;;S1;;;m
uq;3;sv;vv;m;t;;;ri/1vv;uq;n;n;;uq;s;s;;uq;s;s;;uq;s-?;s;;frequentative: many subjects;;;;;;;;
uqqaq;1;sv;vv;m;t;;;i/1vv;uqqaq;n-decap;n;decap;uqqaq;i(i);i(i);;uqqaq;s-decap;s;decap;uqqaq;s-decap;s;decap;"to do an action upon something repeatedly: ""one after another""";"faire une action de manière répétée sur quelque chose: ""l'un après l'autre""";;;;;;;m
usiq;1;sv;vn;t;;;;;usiq usiq;n-i(jj) i(jj);n i(jj);i(jj) -;usiq usiq;s-i(jj) si(jj);s si(jj);i(jj) -;usiq usiq;s-i(jj) si(jj);s si(jj);i(jj) -;usiq usiq qusiq;s -i(jj)son n;s son n;i(jj) - -;custom;;;;;;;;
ut;2;sn;nn;t;;;;;ut uti;n n;n;;ut uti;s s;s;;ut uti;s s;s;;ut uti;s-? s-?;s;;bag, container for;;;;;;;;
ut;1;sv;vn;t;;;;;ut uti utik utaq gut guti gutik gutaq ut uti utik utaq;n-i(jj) n-i(jj) n-i(jj) n-i(jj) n n n n i(jj) i(jj) i(jj) i(jj);n n n n n n n n i(jj) i(jj) i(jj) i(jj);i(jj) i(jj) i(jj) i(jj) - - - - - - - -;ut uti utik utaq guti;s-i(jj) s-i(jj) s-i(jj) s-i(jj) s;s s s s s;i(jj) i(jj) i(jj) i(jj) -;ut uti utik utaq guti;s-i(jj) s-i(jj) s-i(jj) s-i(jj) s;s s s s s;i(jj) i(jj) i(jj) i(jj) -;rut ruti rutik rutaq ut uti utik utaq qut quti qutik qutaq;s s s s s-s(a) s-s(a) s-s(a) s-s(a) n n n n;s s s s s s s s n n n n;- - - - s(a) s(a) s(a) s(a) - - - -;object, instrument, tool for doing s.t.;;;;;;;;
uti;3;sn;nn;t;;;;;;;0;;;;0;;;;0;;uti;s-?;s;;indefinite pronoun 'one';pronom indéfini 'quelqu'un';id:juq/1vn;;;H1;;;m
uti;1;sv;vv;m;t;;;ji/1vv;uti;i(jj);i(jj);;uti;si(jj);si(jj);;uti;son;son;;uti uti;son s-?;son s;;to do the action for, to, with him/her/it;;;;;;;;
vaalliq;1;sv;vv;m;n;;;;vaaliq;n;n;;paalliq;n;n;;paalliq;n;n;;paalliq;n;n;;to do something that one didn't do before;faire quelque chose qu'on ne faisait pas auparavant;;;;H1;;;m
vagiq;1;sv;vv;m;n;;;;vagiq vagiiq;n n;n;;pagiq pagiiq;n n;n;;pagiq pagiiq;n n;n;;pagiq pagiiq;n n;n;;to have already done something;avoir déjà accompli une action;;;;H1;;;m
vai;1;sn;nv;m;i;;;;vai;n;n;;pai;n;n;;pai;n;n;;pai;n;n;;to go towards a location (used with traditional locations: side, back, front, ...);aller vers un endroit (utilisé avec les endroits traditionnels: côté, devant, derrière, ...);;;;A1;;;m
vak;1;sv;vv;m;n;;;;vak;n;n;;pak;n;n;;pak;n;n;;pak;n;n;;common action: 'often';action commune: 'souvent';;;;H1;;;m
valatsi;1;sv;vv;m;i;;;;valatsi;n;n;;palatsi;n;n;;palatsi;n;n;;palatsi;n;n;;to sound like;ressembler par le son à;;;;;;;
vallai;1;sv;vv;m;n;;;;vallai;n;n;;pallai;n;n;;pallai;n;n;;pallai;n;n;;probably;probablement;;;;H1;;;m
vallia;1;sv;vv;m;n;;;;vallia;n;n;;pallia;n;n;;pallia;n;n;;pallia;n;n;;progression;;;;;;;;
vaq;1;sn;nv;m;i;;;;vaq;n;n;;paq;n;n;;paq;n;n;;paq;n;n;;to go towards a location (used with traditional locations: side, back, front, ...);aller vers un endroit (utilisé avec les endroits traditionnels: côté, devant, derrière, ...);;;;A1;;;m
vasaaq;1;sv;vv;m;n;;;;vasaaq;n;n;;pasaaq;n;n;;pasaaq;n;n;;pasaaq;n;n;;to do what one never did before;faire ce qu'on n'a jamais fait auparavant;;;;A1;;;m
vasik;1;sn;nv;m;i;;;;vasik;n;n;;pasik;n;n;;pasik;n;n;;pasik;n;n;;to be too close of a location (used with traditional locations: side, back, front, ...);être trop près d'un endroit (utilisé avec les endroits traditionnels: côté, devant, derrière, ...);;;;A1;;;m
vigjuaraaluk;1;sv;vn;t;;;;;vigjuaraaluk;n;n;;vigjuaraaluk;s;s;;vigjuaraaluk;s;s;;vigjuaraaluk;s;s;;extreme: 'very, very' (when the suffix is in final position, the word can be interpreted as a verb in the 3rd person);extrême: 'très, très' (lorsque le suffixe est en position finale, le mot peut être interprété comme un verbe à la 3ème personne);;;;H1;;;m
vik;3;sv;vn;t;;;;;vik vik;n i(p);i(p) n;;vik;a;a;;vik;son;son;;vik;son;son;;place where the action of the verb takes place;endroit où se passe l'action du verbe;;;;H1;;;m
vik;1;sn;nn;t;;;;;vik;n;n;;vik;s;s;;vik;s;s;;vik;s;s;;enormous;;;;;;;;
vik;2;sv;vv;m;n;;;;vik;n;n;;vik;s;s;;vik;s;s;;vik;s;s;;finality: 'for good';;;;;;;;
viniq;1;sn;nn;t;;;;;viniq;n;n;;viniq;s;s;;viniq;s;s;;viniq;s;s;;denotes a former state;;;;;;;;
vvaluk;1;sn;nv;m;i;;;;vvaluk;n;n;;vvaluk;s;s;;vvaluk;s;s;;vvaluk;s;s;;to sound like;ressembler par le son à;;;;;;;
