morpheme;type;mode;sameSubject;posneg;tense;dialect;specificity;perSubject;numbSubject;perObject;numbObject;V-form;V-actions;V-action1;V-action2;t-form;t-actions;t-action1;t-action2;k-form;k-actions;k-action1;k-action2;q-form;q-actions;q-action1;q-action2;SpecificCondOnPrecMorph;sources
tinnata;tv;part;non;neg;;North Baffin, Cumberland Peninsula;sp;2;p;1;p;tinnata;n;n;;tinnata tinnata;n s;n s;;tinnata;n;n;;tinnata;n;n;;;?
lunitik;tv;part;oui;pos;prespas;Cumberland Peninsula;sp;3;p;2;d;lunitik;i(l);i(l);;tunitik;n;n;;tunitik;n;n;;tunitik;n;n;;;?
lutik;tv;part;oui;pos;prespas;Cumberland Peninsula;sp;4;p;2;d;lutik;i(l);i(l);;tutik;n;n;;tutik;n;n;;tutik;n;n;;;?
lugik;tv;part;oui;pos;prespas;Cumberland Peninsula;sp;1;p;3;d;lugik;i(l);i(l);;tugik;n;n;;tugik;n;n;;tugik;n;n;;;?
tinnanitigut;tv;part;non;neg;;North Baffin, Cumberland Peninsula;sp;3;p;1;p;tinnanitigut;n;n;;tinnanitigut tinnanitigut;n s;n s;;tinnanitigut;n;n;;tinnanitigut;n;n;;;?
tinnata;tv;part;non;neg;;North Baffin, Cumberland Peninsula;sp;4;p;1;p;tinnata;n;n;;tinnata tinnata;n s;n s;;tinnata;n;n;;tinnata;n;n;;;?
tinnasi;tv;part;non;neg;;North Baffin, Cumberland Peninsula;sp;1;p;2;p;tinnasi;n;n;;tinnasi tinnasi;n s;n s;;tinnasi;n;n;;tinnasi;n;n;;;?
tinnanisi;tv;part;non;neg;;North Baffin, Cumberland Peninsula;sp;3;p;2;p;tinnanisi;n;n;;tinnanisi tinnanisi;n s;n s;;tinnanisi;n;n;;tinnanisi;n;n;;;?
tinnasi;tv;part;non;neg;;North Baffin, Cumberland Peninsula;sp;4;p;2;p;tinnasi;n;n;;tinnasi tinnasi;n s;n s;;tinnasi;n;n;;tinnasi;n;n;;;?
tinnagit;tv;part;non;neg;;North Baffin, Cumberland Peninsula;sp;1;p;3;p;tinnagit;n;n;;tinnagit tinnagit;n s;n s;;tinnagit;n;n;;tinnagit;n;n;;;?
tinnagit;tv;part;non;neg;;North Baffin, Cumberland Peninsula;sp;2;p;3;p;tinnagit;n;n;;tinnagit tinnagit;n s;n s;;tinnagit;n;n;;tinnagit;n;n;;;?
tinnanigit;tv;part;non;neg;;North Baffin, Cumberland Peninsula;sp;3;p;3;p;tinnanigit;n;n;;tinnanigit tinnanigit;n s;n s;;tinnanigit;n;n;;tinnanigit;n;n;;;?
tinnagit;tv;part;non;neg;;North Baffin, Cumberland Peninsula;sp;4;p;3;p;tinnagit;n;n;;tinnagit tinnagit;n s;n s;;tinnagit;n;n;;tinnagit;n;n;;;?
nanga;tv;part;oui;neg;;North Baffin, Cumberland Peninsula;sp;2;s;1;s;nanga;n;n;;nanga;nas;nas;;nanga;nas;nas;;nanga ranga;nas s;nas s;;;?
naninga;tv;part;oui;neg;;North Baffin, Cumberland Peninsula;sp;3;s;1;s;naninga;n;n;;naninga;nas;nas;;naninga;nas;nas;;naninga raninga;nas s;nas s;;;?
nanga;tv;part;oui;neg;;North Baffin, Cumberland Peninsula;sp;4;s;1;s;nanga;n;n;;nanga;nas;nas;;nanga;nas;nas;;nanga ranga;nas s;nas s;;;?
nak;tv;part;oui;neg;;North Baffin, Cumberland Peninsula;sp;1;s;2;s;nak;n;n;;nak;nas;nas;;nak;nas;nas;;nak rak;nas s;nas s;;;?
nanitit;tv;part;oui;neg;;North Baffin, Cumberland Peninsula;sp;3;s;2;s;nanitit;n;n;;nanitit;nas;nas;;nanitit;nas;nas;;nanitit ranitit;nas s;nas s;;;?
nak;tv;part;oui;neg;;North Baffin, Cumberland Peninsula;sp;4;s;2;s;nak;n;n;;nak;nas;nas;;nak;nas;nas;;nak rak;nas s;nas s;;;?
nagu;tv;part;oui;neg;;North Baffin, Cumberland Peninsula;sp;1;s;3;s;nagu;n;n;;nagu;nas;nas;;nagu;nas;nas;;nagu ragu;nas s;nas s;;;?
nagu;tv;part;oui;neg;;North Baffin, Cumberland Peninsula;sp;2;s;3;s;nagu;n;n;;nagu;nas;nas;;nagu;nas;nas;;nagu ragu;nas s;nas s;;;?
lugik;tv;part;oui;pos;prespas;Cumberland Peninsula;sp;2;p;3;d;lugik;i(l);i(l);;tugik;n;n;;tugik;n;n;;tugik;n;n;;;?
lunigik;tv;part;oui;pos;prespas;Cumberland Peninsula;sp;3;p;3;d;lunigik;i(l);i(l);;tunigik;n;n;;tunigik;n;n;;tunigik;n;n;;;?
naniuk;tv;part;oui;neg;;North Baffin, Cumberland Peninsula;sp;3;s;3;s;naniuk;n;n;;naniuk;nas;nas;;naniuk;nas;nas;;naniuk raniuk;nas s;nas s;;;?
nagu;tv;part;oui;neg;;North Baffin, Cumberland Peninsula;sp;4;s;3;s;nagu;n;n;;nagu;nas;nas;;nagu;nas;nas;;nagu ragu;nas s;nas s;;;?
nanuk;tv;part;oui;neg;;North Baffin, Cumberland Peninsula;sp;2;s;1;d;nanuk;n;n;;nanuk;nas;nas;;nanuk;nas;nas;;nanuk ranuk;nas s;nas s;;;?
nanitiguk;tv;part;oui;neg;;North Baffin, Cumberland Peninsula;sp;3;s;1;d;nanitiguk;n;n;;nanitiguk;nas;nas;;nanitiguk;nas;nas;;nanitiguk ranitiguk;nas s;nas s;;;?
nanuk;tv;part;oui;neg;;North Baffin, Cumberland Peninsula;sp;4;s;1;d;nanuk;n;n;;nanuk;nas;nas;;nanuk;nas;nas;;nanuk ranuk;nas s;nas s;;;?
natik;tv;part;oui;neg;;North Baffin, Cumberland Peninsula;sp;1;s;2;d;natik;n;n;;natik;nas;nas;;natik;nas;nas;;natik ratik;nas s;nas s;;;?
nanitik;tv;part;oui;neg;;North Baffin, Cumberland Peninsula;sp;3;s;2;d;nanitik;n;n;;nanitik;nas;nas;;nanitik;nas;nas;;nanitik ranitik;nas s;nas s;;;?
natik;tv;part;oui;neg;;North Baffin, Cumberland Peninsula;sp;4;s;2;d;natik;n;n;;natik;nas;nas;;natik;nas;nas;;natik ratik;nas s;nas s;;;?
nagik;tv;part;oui;neg;;North Baffin, Cumberland Peninsula;sp;1;s;3;d;nagik;n;n;;nagik;nas;nas;;nagik;nas;nas;;nagik ragik;nas s;nas s;;;?
nagik;tv;part;oui;neg;;North Baffin, Cumberland Peninsula;sp;2;s;3;d;nagik;n;n;;nagik;nas;nas;;nagik;nas;nas;;nagik ragik;nas s;nas s;;;?
nanigik;tv;part;oui;neg;;North Baffin, Cumberland Peninsula;sp;3;s;3;d;nanigik;n;n;;nanigik;nas;nas;;nanigik;nas;nas;;nanigik ranigik;nas s;nas s;;;?
nagik;tv;part;oui;neg;;North Baffin, Cumberland Peninsula;sp;4;s;3;d;nagik;n;n;;nagik;nas;nas;;nagik;nas;nas;;nagik ragik;nas s;nas s;;;?
nata;tv;part;oui;neg;;North Baffin, Cumberland Peninsula;sp;2;s;1;p;nata;n;n;;nata;nas;nas;;nata;nas;nas;;nata rata;nas s;nas s;;;?
nanitigut;tv;part;oui;neg;;North Baffin, Cumberland Peninsula;sp;3;s;1;p;nanitigut;n;n;;nanitigut;nas;nas;;nanitigut;nas;nas;;nanitigut ranitigut;nas s;nas s;;;?
nata;tv;part;oui;neg;;North Baffin, Cumberland Peninsula;sp;4;s;1;p;nata;n;n;;nata;nas;nas;;nata;nas;nas;;nata rata;nas s;nas s;;;?
nasi;tv;part;oui;neg;;North Baffin, Cumberland Peninsula;sp;1;s;2;p;nasi;n;n;;nasi;nas;nas;;nasi;nas;nas;;nasi rasi;nas s;nas s;;;?
nanisi;tv;part;oui;neg;;North Baffin, Cumberland Peninsula;sp;3;s;2;p;nanisi;n;n;;nanisi;nas;nas;;nanisi;nas;nas;;nanisi ranisi;nas s;nas s;;;?
lugik;tv;part;oui;pos;prespas;Cumberland Peninsula;sp;4;p;3;d;lugik;i(l);i(l);;tugik;n;n;;tugik;n;n;;tugik;n;n;;;?
luta;tv;part;oui;pos;prespas;Cumberland Peninsula;sp;2;p;1;p;luta;i(l);i(l);;tuta;n;n;;tuta;n;n;;tuta;n;n;;;?
nasi;tv;part;oui;neg;;North Baffin, Cumberland Peninsula;sp;4;s;2;p;nasi ;n;n;;nasi ;nas;nas;;nasi ;nas;nas;;nasi rasi;nas s;nas s;;;?
nagit;tv;part;oui;neg;;North Baffin, Cumberland Peninsula;sp;1;s;3;p;nagit;n;n;;nagit;nas;nas;;nagit;nas;nas;;nagit ragit;nas s;nas s;;;?
nagit;tv;part;oui;neg;;North Baffin, Cumberland Peninsula;sp;2;s;3;p;nagit;n;n;;nagit;nas;nas;;nagit;nas;nas;;nagit ragit;nas s;nas s;;;?
nanigit;tv;part;oui;neg;;North Baffin, Cumberland Peninsula;sp;3;s;3;p;nanigit;n;n;;nanigit;nas;nas;;nanigit;nas;nas;;nanigit ranigit;nas s;nas s;;;?
nagit;tv;part;oui;neg;;North Baffin, Cumberland Peninsula;sp;4;s;3;p;nagit;n;n;;nagit;nas;nas;;nagit;nas;nas;;nagit ragit;nas s;nas s;;;?
nanga;tv;part;oui;neg;;North Baffin, Cumberland Peninsula;sp;2;d;1;s;nanga;n;n;;nanga;nas;nas;;nanga;nas;nas;;nanga ranga;nas s;nas s;;;?
naninga;tv;part;oui;neg;;North Baffin, Cumberland Peninsula;sp;3;d;1;s;naninga;n;n;;naninga;nas;nas;;naninga;nas;nas;;naninga raninga;nas s;nas s;;;?
nanga;tv;part;oui;neg;;North Baffin, Cumberland Peninsula;sp;4;d;1;s;nanga;n;n;;nanga;nas;nas;;nanga;nas;nas;;nanga ranga;nas s;nas s;;;?
nak;tv;part;oui;neg;;North Baffin, Cumberland Peninsula;sp;1;d;2;s;nak;n;n;;nak;nas;nas;;nak;nas;nas;;nak rak;nas s;nas s;;;?
nanitit;tv;part;oui;neg;;North Baffin, Cumberland Peninsula;sp;3;d;2;s;nanitit;n;n;;nanitit;nas;nas;;nanitit;nas;nas;;nanitit ranitit;nas s;nas s;;;?
nak;tv;part;oui;neg;;North Baffin, Cumberland Peninsula;sp;4;d;2;s;nak;n;n;;nak;nas;nas;;nak;nas;nas;;nak rak;nas s;nas s;;;?
nagu;tv;part;oui;neg;;North Baffin, Cumberland Peninsula;sp;1;d;3;s;nagu;n;n;;nagu;nas;nas;;nagu;nas;nas;;nagu ragu;nas s;nas s;;;?
nagu;tv;part;oui;neg;;North Baffin, Cumberland Peninsula;sp;2;d;3;s;nagu;n;n;;nagu;nas;nas;;nagu;nas;nas;;nagu ragu;nas s;nas s;;;?
nanikku;tv;part;oui;neg;;North Baffin, Cumberland Peninsula;sp;3;d;3;s;nanikku;n;n;;nanikku;nas;nas;;nanikku;nas;nas;;nanikku ranikku;nas s;nas s;;;?
nagu;tv;part;oui;neg;;North Baffin, Cumberland Peninsula;sp;4;d;3;s;nagu;n;n;;nagu;nas;nas;;nagu;nas;nas;;nagu ragu;nas s;nas s;;;?
nanuk;tv;part;oui;neg;;North Baffin, Cumberland Peninsula;sp;2;d;1;d;nanuk;n;n;;nanuk;nas;nas;;nanuk;nas;nas;;nanuk ranuk;nas s;nas s;;;?
nanitiguk;tv;part;oui;neg;;North Baffin, Cumberland Peninsula;sp;3;d;1;d;nanitiguk;n;n;;nanitiguk;nas;nas;;nanitiguk;nas;nas;;nanitiguk ranitiguk;nas s;nas s;;;?
lunitigut;tv;part;oui;pos;prespas;Cumberland Peninsula;sp;3;p;1;p;lunitigut;i(l);i(l);;tunitigut;n;n;;tunitigut;n;n;;tunitigut;n;n;;;?
luta;tv;part;oui;pos;prespas;Cumberland Peninsula;sp;4;p;1;p;luta;i(l);i(l);;tuta;n;n;;tuta;n;n;;tuta;n;n;;;?
nanuk;tv;part;oui;neg;;North Baffin, Cumberland Peninsula;sp;4;d;1;d;nanuk;n;n;;nanuk;nas;nas;;nanuk;nas;nas;;nanuk ranuk;nas s;nas s;;;?
natik;tv;part;oui;neg;;North Baffin, Cumberland Peninsula;sp;1;d;2;d;natik;n;n;;natik;nas;nas;;natik;nas;nas;;natik ratik;nas s;nas s;;;?
nanitik;tv;part;oui;neg;;North Baffin, Cumberland Peninsula;sp;3;d;2;d;nanitik;n;n;;nanitik;nas;nas;;nanitik;nas;nas;;nanitik ranitik;nas s;nas s;;;?
natik;tv;part;oui;neg;;North Baffin, Cumberland Peninsula;sp;4;d;2;d;natik;n;n;;natik;nas;nas;;natik;nas;nas;;natik ratik;nas s;nas s;;;?
nagik;tv;part;oui;neg;;North Baffin, Cumberland Peninsula;sp;1;d;3;d;nagik;n;n;;nagik;nas;nas;;nagik;nas;nas;;nagik ragik;nas s;nas s;;;?
nagik;tv;part;oui;neg;;North Baffin, Cumberland Peninsula;sp;2;d;3;d;nagik;n;n;;nagik;nas;nas;;nagik;nas;nas;;nagik ragik;nas s;nas s;;;?
nanikkik;tv;part;oui;neg;;North Baffin, Cumberland Peninsula;sp;3;d;3;d;nanikkik;n;n;;nanikkik;nas;nas;;nanikkik;nas;nas;;nanikkik ranikkik;nas s;nas s;;;?
nagik;tv;part;oui;neg;;North Baffin, Cumberland Peninsula;sp;4;d;3;d;nagik;n;n;;nagik;nas;nas;;nagik;nas;nas;;nagik ragik;nas s;nas s;;;?
nata;tv;part;oui;neg;;North Baffin, Cumberland Peninsula;sp;2;d;1;p;nata;n;n;;nata;nas;nas;;nata;nas;nas;;nata rata;nas s;nas s;;;?
nanitigut;tv;part;oui;neg;;North Baffin, Cumberland Peninsula;sp;3;d;1;p;nanitigut;n;n;;nanitigut;nas;nas;;nanitigut;nas;nas;;nanitigut ranitigut;nas s;nas s;;;?
nata;tv;part;oui;neg;;North Baffin, Cumberland Peninsula;sp;4;d;1;p;nata;n;n;;nata;nas;nas;;nata;nas;nas;;nata rata;nas s;nas s;;;?
nasi;tv;part;oui;neg;;North Baffin, Cumberland Peninsula;sp;1;d;2;p;nasi;n;n;;nasi;nas;nas;;nasi;nas;nas;;nasi rasi;nas s;nas s;;;?
nanisi;tv;part;oui;neg;;North Baffin, Cumberland Peninsula;sp;3;d;2;p;nanisi;n;n;;nanisi;nas;nas;;nanisi;nas;nas;;nanisi ranisi;nas s;nas s;;;?
nasi;tv;part;oui;neg;;North Baffin, Cumberland Peninsula;sp;4;d;2;p;nasi;n;n;;nasi;nas;nas;;nasi;nas;nas;;nasi rasi;nas s;nas s;;;?
nagit;tv;part;oui;neg;;North Baffin, Cumberland Peninsula;sp;1;d;3;p;nagit;n;n;;nagit;nas;nas;;nagit;nas;nas;;nagit ragit;nas s;nas s;;;?
nagit;tv;part;oui;neg;;North Baffin, Cumberland Peninsula;sp;2;d;3;p;nagit;n;n;;nagit;nas;nas;;nagit;nas;nas;;nagit ragit;nas s;nas s;;;?
nanikkit;tv;part;oui;neg;;North Baffin, Cumberland Peninsula;sp;3;d;3;p;nanikkit;n;n;;nanikkit;nas;nas;;nanikkit;nas;nas;;nanikkit ranikkit;nas s;nas s;;;?
lusi;tv;part;oui;pos;prespas;Cumberland Peninsula;sp;1;p;2;p;lusi;i(l);i(l);;tusi;n;n;;tusi;n;n;;tusi;n;n;;;?
lunisi;tv;part;oui;pos;prespas;Cumberland Peninsula;sp;3;p;2;p;lunisi;i(l);i(l);;tunisi;n;n;;tunisi;n;n;;tunisi;n;n;;;?
nagit;tv;part;oui;neg;;North Baffin, Cumberland Peninsula;sp;4;d;3;p;nagit;n;n;;nagit;nas;nas;;nagit;nas;nas;;nagit ragit;nas s;nas s;;;?
nanga;tv;part;oui;neg;;North Baffin, Cumberland Peninsula;sp;2;p;1;s;nanga;n;n;;nanga;nas;nas;;nanga;nas;nas;;nanga ranga;nas s;nas s;;;?
naninga;tv;part;oui;neg;;North Baffin, Cumberland Peninsula;sp;3;p;1;s;naninga;n;n;;naninga;nas;nas;;naninga;nas;nas;;naninga raninga;nas s;nas s;;;?
nanga;tv;part;oui;neg;;North Baffin, Cumberland Peninsula;sp;4;p;1;s;nanga;n;n;;nanga;nas;nas;;nanga;nas;nas;;nanga ranga;nas s;nas s;;;?
nak;tv;part;oui;neg;;North Baffin, Cumberland Peninsula;sp;1;p;2;s;nak;n;n;;nak;nas;nas;;nak;nas;nas;;nak rak;nas s;nas s;;;?
nanitit;tv;part;oui;neg;;North Baffin, Cumberland Peninsula;sp;3;p;2;s;nanitit;n;n;;nanitit;nas;nas;;nanitit;nas;nas;;nanitit ranitit;nas s;nas s;;;?
nak;tv;part;oui;neg;;North Baffin, Cumberland Peninsula;sp;4;p;2;s;nak;n;n;;nak;nas;nas;;nak;nas;nas;;nak rak;nas s;nas s;;;?
nagu;tv;part;oui;neg;;North Baffin, Cumberland Peninsula;sp;1;p;3;s;nagu;n;n;;nagu;nas;nas;;nagu;nas;nas;;nagu ragu;nas s;nas s;;;?
nagu;tv;part;oui;neg;;North Baffin, Cumberland Peninsula;sp;2;p;3;s;nagu;n;n;;nagu;nas;nas;;nagu;nas;nas;;nagu ragu;nas s;nas s;;;?
nanijjuk;tv;part;oui;neg;;North Baffin, Cumberland Peninsula;sp;3;p;3;s;nanijjuk;n;n;;nanijjuk;nas;nas;;nanijjuk;nas;nas;;nanijjuk ranijjuk;nas s;nas s;;;?
nagu;tv;part;oui;neg;;North Baffin, Cumberland Peninsula;sp;4;p;3;s;nagu;n;n;;nagu;nas;nas;;nagu;nas;nas;;nagu ragu;nas s;nas s;;;?
nanuk;tv;part;oui;neg;;North Baffin, Cumberland Peninsula;sp;2;p;1;d;nanuk;n;n;;nanuk;nas;nas;;nanuk;nas;nas;;nanuk ranuk;nas s;nas s;;;?
nanitiguk;tv;part;oui;neg;;North Baffin, Cumberland Peninsula;sp;3;p;1;d;nanitiguk;n;n;;nanitiguk;nas;nas;;nanitiguk;nas;nas;;nanitiguk ranitiguk;nas s;nas s;;;?
nanuk;tv;part;oui;neg;;North Baffin, Cumberland Peninsula;sp;4;p;1;d;nanuk;n;n;;nanuk;nas;nas;;nanuk;nas;nas;;nanuk ranuk;nas s;nas s;;;?
natik;tv;part;oui;neg;;North Baffin, Cumberland Peninsula;sp;1;p;2;d;natik;n;n;;natik;nas;nas;;natik;nas;nas;;natik ratik;nas s;nas s;;;?
nanitik;tv;part;oui;neg;;North Baffin, Cumberland Peninsula;sp;3;p;2;d;nanitik;n;n;;nanitik;nas;nas;;nanitik;nas;nas;;nanitik ranitik;nas s;nas s;;;?
natik;tv;part;oui;neg;;North Baffin, Cumberland Peninsula;sp;4;p;2;d;natik;n;n;;natik;nas;nas;;natik;nas;nas;;natik ratik;nas s;nas s;;;?
lusi;tv;part;oui;pos;prespas;Cumberland Peninsula;sp;4;p;2;p;lusi;i(l);i(l);;tusi;n;n;;tusi;n;n;;tusi;n;n;;;?
lugit;tv;part;oui;pos;prespas;Cumberland Peninsula;sp;1;p;3;p;lugit;i(l);i(l);;tugit;n;n;;tugit;n;n;;tugit;n;n;;;?
nagik;tv;part;oui;neg;;North Baffin, Cumberland Peninsula;sp;1;p;3;d;nagik;n;n;;nagik;nas;nas;;nagik;nas;nas;;nagik ragik;nas s;nas s;;;?
nagik;tv;part;oui;neg;;North Baffin, Cumberland Peninsula;sp;2;p;3;d;nagik;n;n;;nagik;nas;nas;;nagik;nas;nas;;nagik ragik;nas s;nas s;;;?
nanigik;tv;part;oui;neg;;North Baffin, Cumberland Peninsula;sp;3;p;3;d;nanigik;n;n;;nanigik;nas;nas;;nanigik;nas;nas;;nanigik ranigik;nas s;nas s;;;?
nagik;tv;part;oui;neg;;North Baffin, Cumberland Peninsula;sp;4;p;3;d;nagik;n;n;;nagik;nas;nas;;nagik;nas;nas;;nagik ragik;nas s;nas s;;;?
nata;tv;part;oui;neg;;North Baffin, Cumberland Peninsula;sp;2;p;1;p;nata;n;n;;nata;nas;nas;;nata;nas;nas;;nata rata;nas s;nas s;;;?
nanitigut;tv;part;oui;neg;;North Baffin, Cumberland Peninsula;sp;3;p;1;p;nanitigut;n;n;;nanitigut;nas;nas;;nanitigut;nas;nas;;nanitigut ranitigut;nas s;nas s;;;?
nata;tv;part;oui;neg;;North Baffin, Cumberland Peninsula;sp;4;p;1;p;nata;n;n;;nata;nas;nas;;nata;nas;nas;;nata rata;nas s;nas s;;;?
nasi;tv;part;oui;neg;;North Baffin, Cumberland Peninsula;sp;1;p;2;p;nasi;n;n;;nasi;nas;nas;;nasi;nas;nas;;nasi rasi;nas s;nas s;;;?
nanisi;tv;part;oui;neg;;North Baffin, Cumberland Peninsula;sp;3;p;2;p;nanisi;n;n;;nanisi;nas;nas;;nanisi;nas;nas;;nanisi ranisi;nas s;nas s;;;?
nasi;tv;part;oui;neg;;North Baffin, Cumberland Peninsula;sp;4;p;2;p;nasi;n;n;;nasi;nas;nas;;nasi;nas;nas;;nasi rasi;nas s;nas s;;;?
nagit;tv;part;oui;neg;;North Baffin, Cumberland Peninsula;sp;1;p;3;p;nagit;n;n;;nagit;nas;nas;;nagit;nas;nas;;nagit ragit;nas s;nas s;;;?
nagit;tv;part;oui;neg;;North Baffin, Cumberland Peninsula;sp;2;p;3;p;nagit;n;n;;nagit;nas;nas;;nagit;nas;nas;;nagit ragit;nas s;nas s;;;?
nanigit;tv;part;oui;neg;;North Baffin, Cumberland Peninsula;sp;3;p;3;p;nanigit;n;n;;nanigit;nas;nas;;nanigit;nas;nas;;nanigit ranigit;nas s;nas s;;;?
nagit;tv;part;oui;neg;;North Baffin, Cumberland Peninsula;sp;4;p;3;p;nagit;n;n;;nagit;nas;nas;;nagit;nas;nas;;nagit ragit;nas s;nas s;;;?
lugit;tv;part;oui;pos;prespas;Cumberland Peninsula;sp;2;p;3;p;lugit;i(l);i(l);;tugit;n;n;;tugit;n;n;;tugit;n;n;;;?
lunigit;tv;part;oui;pos;prespas;Cumberland Peninsula;sp;3;p;3;p;lunigit;i(l);i(l);;tunigit;n;n;;tunigit;n;n;;tunigit;n;n;;;?
lugit;tv;part;oui;pos;prespas;Cumberland Peninsula;sp;4;p;3;p;lugit;i(l);i(l);;tugit;n;n;;tugit;n;n;;tugit;n;n;;;?
